Date,Value
2026-01-02,3126292.0
2026-01-05,3130197.0
2026-01-06,3112377.0
2026-01-07,3013957.0
2026-01-08,3074880.0
2026-01-09,3089461.0
2026-01-12,3076947.0
2026-01-13,3036293.0
2026-01-14,2950111.0
2026-01-15,2926727.0
2026-01-16,2933230.0
2026-01-19,2912976.0
2026-01-20,2942092.0
2026-01-21,3047554.0
2026-01-22,3066435.0
2026-01-23,3093535.0
2026-01-26,3131277.0
2026-01-27,3244320.0
2026-01-28,3230714.0
2026-01-29,3211242.0
2026-01-30,3199554.0
2026-02-02,3106672.0
2026-02-03,3038541.0
2026-02-04,3015927.0
2026-02-05,2932838.0
2026-02-06,2977119.0
2026-02-09,2976664.0
2026-02-10,3060606.0
2026-02-11,3017641.0
2026-02-12,2851780.0
2026-02-13,2816128.0
2026-02-18,2723175.0
2026-02-19,2839106.0
2026-02-20,2873248.0
2026-02-23,2763059.0
