Date,Value
2026-01-02,9951.099609375
2026-01-05,10004.599609375
2026-01-06,10122.7001953125
2026-01-07,10048.2001953125
2026-01-08,10044.7001953125
2026-01-09,10124.599609375
2026-01-12,10140.7001953125
2026-01-13,10137.400390625
2026-01-14,10184.400390625
2026-01-15,10238.900390625
2026-01-16,10235.2998046875
2026-01-19,10195.400390625
2026-01-20,10126.7998046875
2026-01-21,10138.099609375
2026-01-22,10150.099609375
2026-01-23,10143.400390625
2026-01-26,10148.900390625
2026-01-27,10207.7998046875
2026-01-28,10154.400390625
2026-01-29,10171.7998046875
2026-01-30,10223.5
2026-02-02,10341.599609375
2026-02-03,10314.599609375
2026-02-04,10402.2998046875
2026-02-05,10309.2001953125
2026-02-06,10369.7998046875
2026-02-09,10386.2001953125
2026-02-10,10353.7998046875
2026-02-11,10472.099609375
2026-02-12,10402.400390625
2026-02-13,10446.400390625
2026-02-16,10473.7001953125
2026-02-17,10556.2001953125
2026-02-18,10686.2001953125
2026-02-19,10627.0
2026-02-20,10686.900390625
2026-02-23,10684.7001953125
