Date,Value
2026-01-02,24539.33984375
2026-01-05,24868.689453125
2026-01-06,24892.19921875
2026-01-07,25122.259765625
2026-01-08,25127.4609375
2026-01-09,25261.640625
2026-01-12,25405.33984375
2026-01-13,25420.66015625
2026-01-14,25286.240234375
2026-01-15,25352.390625
2026-01-16,25297.130859375
2026-01-19,24959.060546875
2026-01-20,24703.119140625
2026-01-21,24560.98046875
2026-01-22,24856.470703125
2026-01-23,24900.7109375
2026-01-26,24933.080078125
2026-01-27,24894.439453125
2026-01-28,24822.7890625
2026-01-29,24309.4609375
2026-01-30,24538.810546875
2026-02-02,24797.51953125
2026-02-03,24780.7890625
2026-02-04,24603.0390625
2026-02-05,24491.060546875
2026-02-06,24721.4609375
2026-02-09,25014.869140625
2026-02-10,24987.849609375
2026-02-11,24856.150390625
2026-02-12,24852.689453125
2026-02-13,24914.880859375
2026-02-16,24800.91015625
2026-02-17,24998.400390625
2026-02-18,25278.2109375
2026-02-19,25043.5703125
2026-02-20,25260.689453125
2026-02-23,24991.970703125
