Date,Value
2026-01-02,31883.400390625
2026-01-05,32220.0
2026-01-06,32407.0
2026-01-07,32135.5
2026-01-08,32378.599609375
2026-01-09,32612.900390625
2026-01-12,32874.69921875
2026-01-13,32870.3984375
2026-01-14,32916.5
2026-01-15,33028.8984375
2026-01-16,33040.6015625
2026-01-19,33091.0
2026-01-20,32750.30078125
2026-01-21,32851.5
2026-01-22,33002.69921875
2026-01-23,33145.0
2026-01-26,33093.30078125
2026-01-27,33096.3984375
2026-01-28,33176.1015625
2026-01-29,33016.1015625
2026-01-30,31923.5
2026-02-02,32183.900390625
2026-02-03,32388.599609375
2026-02-04,32571.599609375
2026-02-05,31994.599609375
2026-02-06,32471.0
2026-02-09,33023.30078125
2026-02-10,33256.80078125
2026-02-11,33254.19921875
2026-02-12,32465.30078125
2026-02-13,33073.69921875
2026-02-17,32896.6015625
2026-02-18,33389.69921875
2026-02-19,33595.0
2026-02-20,33817.5
2026-02-23,33776.5
