Date,Value
2026-01-02,26338.470703125
2026-01-05,26347.240234375
2026-01-06,26710.44921875
2026-01-07,26458.94921875
2026-01-08,26149.310546875
2026-01-09,26231.7890625
2026-01-12,26608.48046875
2026-01-13,26848.470703125
2026-01-14,26999.810546875
2026-01-15,26923.619140625
2026-01-16,26844.9609375
2026-01-19,26563.900390625
2026-01-20,26487.509765625
2026-01-21,26585.060546875
2026-01-22,26629.9609375
2026-01-23,26749.509765625
2026-01-26,26765.51953125
2026-01-27,27126.94921875
2026-01-28,27826.91015625
2026-01-29,27968.08984375
2026-01-30,27387.109375
2026-02-02,26775.5703125
2026-02-03,26834.76953125
2026-02-04,26847.3203125
2026-02-05,26885.240234375
2026-02-06,26559.94921875
2026-02-09,27027.16015625
2026-02-10,27183.150390625
2026-02-11,27266.380859375
2026-02-12,27032.5390625
2026-02-13,26567.119140625
2026-02-16,26705.939453125
2026-02-20,26413.349609375
2026-02-23,27081.91015625
