Date,Value
2026-01-05,51832.80078125
2026-01-06,52518.078125
2026-01-07,51961.98046875
2026-01-08,51117.26171875
2026-01-09,51939.890625
2026-01-13,53549.16015625
2026-01-14,54341.23046875
2026-01-15,54110.5
2026-01-16,53936.171875
2026-01-19,53583.5703125
2026-01-20,52991.1015625
2026-01-21,52774.640625
2026-01-22,53688.890625
2026-01-23,53846.87109375
2026-01-26,52885.25
2026-01-27,53333.5390625
2026-01-28,53358.7109375
2026-01-29,53375.6015625
2026-01-30,53322.8515625
2026-02-02,52655.1796875
2026-02-03,54720.66015625
2026-02-04,54293.359375
2026-02-05,53818.0390625
2026-02-06,54253.6796875
2026-02-09,56363.94140625
2026-02-10,57650.5390625
2026-02-12,57639.83984375
2026-02-13,56941.96875
2026-02-16,56806.41015625
2026-02-17,56566.48828125
2026-02-18,57143.83984375
2026-02-19,57467.828125
2026-02-20,56825.69921875
