Date,Value
2026-01-02,25206.169921875
2026-01-05,25401.3203125
2026-01-06,25639.7109375
2026-01-07,25653.900390625
2026-01-08,25507.099609375
2026-01-09,25766.259765625
2026-01-12,25787.66015625
2026-01-13,25741.94921875
2026-01-14,25465.939453125
2026-01-15,25547.0703125
2026-01-16,25529.259765625
2026-01-20,24987.5703125
2026-01-21,25326.580078125
2026-01-22,25518.349609375
2026-01-23,25605.470703125
2026-01-26,25713.2109375
2026-01-27,25939.740234375
2026-01-28,26022.7890625
2026-01-29,25884.30078125
2026-01-30,25552.390625
2026-02-02,25738.609375
2026-02-03,25338.619140625
2026-02-04,24891.240234375
2026-02-05,24548.689453125
2026-02-06,25075.76953125
2026-02-09,25268.140625
2026-02-10,25127.640625
2026-02-11,25201.259765625
2026-02-12,24687.609375
2026-02-13,24732.73046875
2026-02-17,24701.599609375
2026-02-18,24898.869140625
2026-02-19,24797.33984375
2026-02-20,25012.619140625
2026-02-23,24708.939453125
