Rank,Symbol,Company,Market Cap,Price,Change,Revenue
1,NVDA,NVIDIA Corporation,5.03T,206.88,2.17%,165.22B
2,AAPL,Apple Inc.,3.98T,269.05,-0.49%,416.16B
3,MSFT,Microsoft Corporation,3.84T,517.03,-0.15%,293.81B
5,GOOGL,Alphabet Inc.,3.42T,283.72,0.90%,385.48B
6,AMZN,"Amazon.com, Inc.",2.72T,254,4.00%,691.33B
7,AVGO,Broadcom Inc.,1.71T,362.55,-1.92%,59.93B
8,META,"Meta Platforms, Inc.",1.61T,637.71,-1.64%,189.46B
9,TSLA,"Tesla, Inc.",1.56T,468.37,2.59%,95.63B
11,JPM,JPMorgan Chase & Co.,842.11B,309.35,-0.57%,167.13B
12,WMT,Walmart Inc.,809.96B,101.59,0.41%,693.15B
13,LLY,Eli Lilly and Company,802.74B,896.53,3.90%,59.42B
14,ORCL,Oracle Corporation,735.08B,257.85,-1.81%,59.02B
15,V,Visa Inc.,646.48B,336.9,-1.13%,40.00B
16,PLTR,Palantir Technologies Inc.,491.50B,207.18,3.35%,3.90B
17,MA,Mastercard Incorporated,488.57B,544.07,-1.43%,31.47B
18,XOM,Exxon Mobil Corporation,479.73B,113.76,-0.52%,326.25B
19,NFLX,"Netflix, Inc.",466.14B,"1,100.09",-1.68%,43.38B
20,JNJ,Johnson & Johnson,448.76B,186.26,-1.38%,92.15B
21,AMD,"Advanced Micro Devices, Inc.",421.37B,259.65,1.38%,29.60B
22,COST,Costco Wholesale Corporation,411.29B,928.04,1.82%,275.24B
23,BAC,Bank of America Corporation,391.12B,53.56,0.21%,101.45B
24,HD,"The Home Depot, Inc.",376.60B,378.35,-0.33%,165.05B
25,ABBV,AbbVie Inc.,374.44B,211.96,-2.79%,59.64B
26,PG,The Procter & Gamble Company,345.88B,148.02,-1.56%,84.93B
27,GE,General Electric Company,325.54B,308.62,-0.11%,43.95B
28,CVX,Chevron Corporation,312.58B,154.04,-2.33%,188.73B
29,UNH,UnitedHealth Group Incorporated,302.36B,333.79,-2.27%,435.16B
30,CSCO,"Cisco Systems, Inc.",293.39B,74.45,1.83%,56.65B
31,KO,The Coca-Cola Company,292.38B,67.97,-1.35%,47.66B
32,IBM,International Business Machines Corporation,284.84B,304.73,-0.87%,65.40B
33,WFC,Wells Fargo & Company,274.04B,87.3,0.38%,79.07B
34,CAT,Caterpillar Inc.,267.02B,570.59,-1.16%,64.67B
35,MU,"Micron Technology, Inc.",263.44B,234.7,4.88%,37.38B
36,MS,Morgan Stanley,260.09B,163.65,-0.21%,68.53B
37,AXP,American Express Company,249.10B,361.62,0.25%,65.29B
38,CRM,"Salesforce, Inc.",248.80B,261.34,0.36%,39.50B
39,GS,"The Goldman Sachs Group, Inc.",246.43B,785.52,-0.49%,57.34B
40,RTX,RTX Corporation,237.37B,177.04,-0.82%,85.99B
41,TMUS,"T-Mobile US, Inc.",227.41B,203.32,-3.20%,85.85B
42,PM,Philip Morris International Inc.,225.09B,144.6,0.19%,39.99B
43,ABT,Abbott Laboratories,215.34B,123.84,0.18%,43.84B
44,APP,AppLovin Corporation,213.82B,632.14,-0.81%,5.74B
45,TMO,Thermo Fisher Scientific Inc.,212.23B,564.88,-0.44%,43.74B
46,MCD,McDonald's Corporation,211.49B,296.37,-0.69%,26.06B
47,UBER,"Uber Technologies, Inc.",207.96B,99.72,3.34%,47.33B
48,MRK,"Merck & Co., Inc.",206.04B,82.49,-4.06%,64.24B
49,LRCX,Lam Research Corporation,202.52B,161.24,2.40%,19.59B
50,DIS,The Walt Disney Company,201.58B,112.12,-0.44%,94.54B
51,ANET,Arista Networks Inc,198.07B,157.59,-0.06%,7.95B
52,PEP,"PepsiCo, Inc.",196.35B,143.6,-1.70%,92.37B
53,QCOM,QUALCOMM Incorporated,193.70B,180.72,-0.10%,43.26B
54,ISRG,"Intuitive Surgical, Inc.",192.92B,544.21,1.86%,9.61B
55,LIN,Linde plc,192.47B,412.18,-1.46%,33.50B
56,NOW,"ServiceNow, Inc.",189.68B,913.84,-0.59%,12.67B
57,AMAT,"Applied Materials, Inc.",189.37B,237.71,1.98%,28.61B
58,INTU,Intuit Inc.,188.53B,676.19,1.29%,18.83B
59,INTC,Intel Corporation,188.26B,39.5,-1.23%,53.44B
60,C,Citigroup Inc.,181.81B,101.61,1.58%,75.38B
61,BX,Blackstone Inc.,177.52B,144.42,0.25%,12.79B
62,BLK,"BlackRock, Inc.",174.43B,"1,068.83",-1.29%,22.89B
63,T,AT&T Inc.,173.90B,24.53,-0.89%,124.48B
64,APH,Amphenol Corporation,173.27B,141.55,1.59%,20.97B
65,NEE,"NextEra Energy, Inc.",170.32B,81.78,0.47%,26.30B
66,SCHW,The Charles Schwab Corporation,169.09B,93.15,-1.45%,22.91B
67,VZ,Verizon Communications Inc.,166.42B,39.47,-0.68%,137.49B
68,BKNG,Booking Holdings Inc.,162.15B,"5,030.55",-0.93%,26.04B
69,KLAC,KLA Corporation,160.19B,"1,219.14",0.86%,12.52B
70,AMGN,Amgen Inc.,159.52B,296.3,-0.71%,34.92B
71,GEV,GE Vernova Inc.,157.71B,581.26,-0.66%,37.67B
72,TJX,"The TJX Companies, Inc.",156.27B,140.41,0.19%,57.93B
73,BA,The Boeing Company,155.48B,204.55,1.76%,80.76B
74,ACN,Accenture plc,154.07B,248.44,-0.66%,69.67B
75,GILD,"Gilead Sciences, Inc.",151.59B,122.05,1.89%,29.09B
76,DHR,Danaher Corporation,151.20B,214.06,-0.61%,24.27B
77,SPGI,S&P Global Inc.,150.50B,497.02,2.01%,15.01B
