Date,Value
2026-01-02,11498.400390625
2026-01-05,11702.0
2026-01-06,12023.7998046875
2026-01-07,12028.7998046875
2026-01-08,12088.0
2026-01-09,12201.0
2026-01-12,12254.7998046875
2026-01-13,12385.599609375
2026-01-14,12369.900390625
2026-01-15,12456.7001953125
2026-01-16,12668.5
2026-01-19,12747.900390625
2026-01-20,12805.7998046875
2026-01-21,12728.2001953125
2026-01-22,12851.5
2026-01-23,12992.7001953125
2026-01-26,13177.2998046875
2026-01-27,13107.0
2026-01-28,13407.400390625
2026-01-29,13831.099609375
2026-01-30,13838.2998046875
2026-02-02,13621.0
2026-02-03,13875.2998046875
2026-02-04,13891.2001953125
2026-02-05,13589.099609375
2026-02-06,13522.0
2026-02-09,13838.400390625
2026-02-10,13797.0
2026-02-11,13787.7998046875
2026-02-12,14180.5
2026-02-13,14180.7001953125
2026-02-16,14339.2998046875
2026-02-17,14227.2998046875
2026-02-18,14259.900390625
2026-02-19,13804.2001953125
2026-02-20,13934.099609375
2026-02-23,14061.7001953125
