Date,Value
2026-01-02,48382.390625
2026-01-05,48977.1796875
2026-01-06,49462.078125
2026-01-07,48996.078125
2026-01-08,49266.109375
2026-01-09,49504.0703125
2026-01-12,49590.19921875
2026-01-13,49191.98828125
2026-01-14,49149.62890625
2026-01-15,49442.44140625
2026-01-16,49359.328125
2026-01-20,48488.58984375
2026-01-21,49077.23046875
2026-01-22,49384.01171875
2026-01-23,49098.7109375
2026-01-26,49412.3984375
2026-01-27,49003.41015625
2026-01-28,49015.6015625
2026-01-29,49071.55859375
2026-01-30,48892.46875
2026-02-02,49407.66015625
2026-02-03,49240.98828125
2026-02-04,49501.30078125
2026-02-05,48908.71875
2026-02-06,50115.671875
2026-02-09,50135.87109375
2026-02-10,50188.140625
2026-02-11,50121.3984375
2026-02-12,49451.98046875
2026-02-13,49500.9296875
2026-02-17,49533.19140625
2026-02-18,49662.66015625
2026-02-19,49395.16015625
2026-02-20,49625.96875
2026-02-23,48804.05859375
