Date,Value
2026-01-02,23235.630859375
2026-01-05,23395.8203125
2026-01-06,23547.169921875
2026-01-07,23584.279296875
2026-01-08,23480.01953125
2026-01-09,23671.349609375
2026-01-12,23733.900390625
2026-01-13,23709.869140625
2026-01-14,23471.75
2026-01-15,23530.01953125
2026-01-16,23515.390625
2026-01-20,22954.3203125
2026-01-21,23224.8203125
2026-01-22,23436.01953125
2026-01-23,23501.240234375
2026-01-26,23601.359375
2026-01-27,23817.099609375
2026-01-28,23857.44921875
2026-01-29,23685.119140625
2026-01-30,23461.8203125
2026-02-02,23592.109375
2026-02-03,23255.189453125
2026-02-04,22904.580078125
2026-02-05,22540.58984375
2026-02-06,23031.2109375
2026-02-09,23238.669921875
2026-02-10,23102.470703125
2026-02-11,23066.470703125
2026-02-12,22597.150390625
2026-02-13,22546.669921875
2026-02-17,22578.380859375
2026-02-18,22753.630859375
2026-02-19,22682.73046875
2026-02-20,22886.0703125
2026-02-23,22627.26953125
