Date,Price,EPS,TTM,PE-Ratio,Revenue,Shares
2025-09-30,242.94,2.87,10.13,23.982231,102346,13048
2025-06-30,175.96,2.31,9.38,18.75906183,96428,13050
2025-03-31,154.21,2.81,8.96,17.2109375,90234,13150
2024-12-31,188.56,2.14,8.04,23.45273632,96469,13313
2024-09-30,165.01,2.12,7.54,21.88461538,88268,13284
2024-06-30,180.99,1.89,6.97,25.96700143,84742,13361
2024-03-31,149.8,1.89,6.52,22.97546012,80539,13396
2023-12-31,138.64,1.64,5.8,23.90344828,86310,13599
2023-09-30,129.88,1.55,5.3,24.50566038,76693,13571
2023-06-30,118.8,1.44,4.81,24.6985447,74604,13643
2023-03-31,102.95,1.17,4.5,22.87777778,69787,13706
2022-12-31,87.57,1.14,4.56,19.20394737,76048,14046
2022-09-30,94.93,1.06,4.96,19.1391129,69092,13982
2022-06-30,108.15,1.13,5.3,20.40566038,69685,14126
2022-03-31,138.03,1.23,5.53,24.960217,68011,14242
2021-12-31,143.77,1.54,5.62,25.58185053,75325,14462
2021-09-30,132.67,1.4,5.19,25.56262042,65118,14438
2021-06-30,121.17,1.36,4.61,26.28416486,61880,14506
2021-03-31,102.35,1.32,3.76,27.22074468,55314,14558
2020-12-31,86.97,1.11,2.93,29.68259386,56898,14665
2020-09-30,72.73,0.82,2.59,28.08108108,46173,14639
2020-06-30,70.37,0.51,2.28,30.86403509,38297,14668
2020-03-31,57.66,0.49,2.48,23.25,41159,14774
2019-12-31,66.47,0.77,2.47,26.91093117,46075,14902
2019-09-30,60.6,0.51,2.34,25.8974359,40499,14894
2019-06-30,53.73,0.71,2.48,21.66532258,38944,14930
2019-03-31,58.4,0.48,2,29.2,36339,14949
2018-12-31,51.86,0.64,2.19,23.6803653,39276,15003
2018-09-30,59.9,0.65,1.33,45.03759398,33740,15015
2018-06-30,56.04,0.23,1.16,48.31034483,32657,15003
2018-03-31,51.47,0.67,1.18,43.61864407,31146,15042
2017-12-31,52.28,-0.22,0.9,58.08888889,32323,15015
2017-09-30,48.32,0.48,1.5,32.21333333,27772,15016
2017-06-30,46.14,0.25,1.38,33.43478261,26010,15013
2017-03-31,42.07,0.39,1.48,28.42567568,24750,14987
2016-12-31,39.33,0.38,1.39,28.29496403,26064,14951
2016-09-30,39.9,0.36,1.38,28.91304348,22451,14939
2016-06-30,34.91,0.35,1.29,27.0620155,21500,14922
2016-03-31,37.86,0.3,1.19,31.81512605,20257,14985
2015-12-31,38.61,0.37,1.15,33.57391304,21329,14894
2015-09-30,31.68,0.27,1.11,28.54054054,18675,14914
2015-06-30,26.8,0.25,1.04,25.76923077,17727,14860
2015-03-31,27.53,0.26,1.03,26.72815534,17258,14847
2014-12-31,26.33,0.33,1.02,25.81372549,18103,14840
2014-09-30,29.2,0.2,0.92,31.73913043,16523,14857
2014-06-30,29.01,0.24,0.94,30.86170213,15955,14833
2014-03-31,27.68,0.25,0.94,29.44680851,15420,13704
2013-12-31,27.83,0.23,0.94,29.60638298,15707,14739
2013-09-30,21.75,0.22,0.93,23.38709677,13754,13569
2013-06-30,21.87,0.24,0.87,25.13793103,13107,13533
2013-03-31,19.72,0.25,0.84,23.47619048,12951,13467
2012-12-31,17.57,0.22,0.81,21.69135802,10283,13292
2012-09-30,18.74,0.16,0.8,23.425,13304,13333
2012-06-30,14.41,0.21,0.85,16.95294118,11807,13232
2012-03-31,15.93,0.22,0.83,19.19277108,10645,13205
2011-12-31,16.04,0.21,0.75,21.38666667,10584,13089
2011-09-30,12.79,0.21,,,9720,13098
2011-06-30,12.58,0.19,,,9026,13041
2011-03-31,14.57,0.14,,,8575,13055
,,,,,,
