Date,Value
2025-09-30,531.4676
2025-06-30,513.688
2025-03-31,488.42
2024-12-31,508.589
2024-09-30,501.354
2024-06-30,488.7054
2024-03-31,471.9492
2023-12-31,490.2015
2023-09-30,468.5241
2023-06-30,462.1327
2023-03-31,451.438
2022-12-31,461.4435
2022-09-30,446.3334
2022-06-30,431.3891
2022-03-31,413.7319
2021-12-31,423.1742
2021-09-30,395.0671
2021-06-30,384.5052
2021-03-31,364.0532
2020-12-31,367.4783
2020-09-30,346.7102
2020-06-30,315.6095
2020-03-31,332.5871
2019-12-31,369.2279
2019-09-30,355.0164
2019-06-30,351.9117
2019-03-31,338.8504
2018-12-31,346.7055
2018-09-30,341.2737
2018-06-30,334.6378
2018-03-31,320.388
2017-12-31,329.5932
2017-09-30,308.2221
2017-06-30,300.9803
2017-03-31,292.7791
2016-12-31,301.1155
2016-09-30,290.9368
2016-06-30,284.5927
2016-03-31,274.0304
2015-12-31,288.8747
2015-09-30,283.7172
2015-06-30,281.3485
2015-03-31,273.1878
2014-12-31,297.91
2014-09-30,293.09
2014-06-30,292.3547
2014-03-31,279.9613
2013-12-31,289.4583
2013-09-30,279.4113
2013-06-30,277.1672
2013-03-31,270.7735
2012-12-31,288.0253
2012-09-30,268.9901
2012-06-30,268.0261
2012-03-31,267.3291
2011-12-31,272.6403
2011-09-30,265.9895
2011-06-30,263.3144
2011-03-31,250.8903
2010-12-31,252.7325
2010-09-30,240.8378
2010-06-30,236.7536
2010-03-31,232.3822
2009-12-31,236.0167
2009-09-30,227.3406
2009-06-30,223.2416
2009-03-31,221.7969
2008-12-31,230.21
2008-09-30,268
2008-06-30,278.53
2008-03-31,265.72
2007-12-31,268.16
2007-09-30,258.81
2007-06-30,255.63
2007-03-31,242.48
2006-12-31,248.2
2006-09-30,239.8
2006-06-30,234.71
2006-03-31,229.8
2005-12-31,232.52
2005-09-30,220.9
2005-06-30,214.8
2005-03-31,206.1
2004-12-31,210.14
2004-09-30,197.06
2004-06-30,193.64
2004-03-31,187.33
2003-12-31,178.85
2003-09-30,179.6
2003-06-30,181.15
2003-03-31,171.21
2002-12-31,165.94
2002-09-30,166.12
2002-06-30,175.33
2002-03-31,167.2
2001-12-31,189.1
2001-09-30,178.68
2001-06-30,183.03
2001-03-31,186.07
2000-12-31,191.03
2000-09-30,188.1
2000-06-30,186.07
2000-03-31,180.5
