Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,12456,MOTOROLA MOBILITY HOLDINGS INC,MMI,2011-01-04,2012-05-24
Added,90386,MOSAIC CO; MOSAIC CO NEW,MOS,2011-09-26,2022-12-30
Added,90537,NOBLE CORP BAAR; NOBLE CORP; NOBLE CORP PLC; NOBLE DRILLING CORP,"NE, NDCO",2011-01-18,2015-07-17
Added,90547,ALPHA NATURAL RESOURCES INC,ANR,2011-06-02,2012-10-01
Added,12872,MARATHON PETROLEUM CORP,MPC,2011-07-01,2022-12-30
Added,13035,XYLEM INC,XYL,2011-11-01,2022-12-30
Added,13168,TRIPADVISOR INC,TRIP,2011-12-21,2019-12-20
Added,91068,CHIPOTLE MEXICAN GRILL INC,CMG,2011-04-28,2022-12-30
Added,89071,ACCENTURE LTD BERMUDA; ACCENTURE PLC IRELAND,ACN,2011-07-06,2022-12-30
Added,89105,JOY GLOBAL INC,"JOY, JOYG",2011-02-28,2015-10-07
Added,15553,A G L RESOURCES INC; ATLANTA GAS LIGHT CO,"AGLT, AGL, ATG, GAS",2011-12-13,2016-06-30
Added,87267,BLACKROCK INC,BLK,2011-04-04,2022-12-30
Added,77182,PERRIGO CO; PERRIGO CO PLC,PRGO,2011-12-19,2021-09-17
Added,21979,COOPER INDUSTRIES LTD; COOPER INDUSTRIES PLC; COOPER INDUSTRIES INC; COOPER BESSEMER CORP,CBE,2011-11-23,2012-11-30
Added,81481,DOLLAR TREE INC; DOLLAR TREE STORES INC,DLTR,2011-12-19,2022-12-30
Added,85592,PROLOGIS INC; A M B PROPERTY CORP,"AMB, PLD",2011-06-03,2022-12-30
Added,87657,EDWARDS LIFESCIENCES CORP,EW,2011-04-01,2022-12-30
Added,79545,BORGWARNER INC; BORG WARNER AUTOMOTIVE INC,BWA,2011-12-19,2022-12-30
Added,92156,COVIDIEN LTD; COVIDIEN PLC,COV,2011-03-01,2015-01-26
Added,92157,T E CONNECTIVITY LTD; TYCO ELECTRONICS LTD; TYCO ELECTRONICS LTD NEW,TEL,2011-10-17,2022-12-30
Removed,10324,GENZYME CORP,GENZ,2001-12-14,2011-04-01
Removed,77976,NETWORKS ASSOCIATES INC; MCAFEE INC; MCAFEE ASSOCIATES INC,"NET, MFE, MCAF, NETA",2008-12-23,2011-02-28
Removed,51377,NATIONAL SEMICONDUCTOR CORP,NSM,1976-12-09,2011-09-23
Removed,88313,STILWELL FINANCIAL INC; JANUS CAP GROUP INC,"JNS, SV",2000-07-13,2011-11-22
Removed,12570,I T T INDUSTRIES INC IND; INTERNATIONAL TEL & TELEG CORP; I T T CORP; I T T INC,"IIN, IT, ITT",1957-03-01,2011-10-31
Removed,78139,COMPUWARE CORP,CPWR,1999-01-04,2011-12-30
Removed,84342,MONSTER WORLDWIDE INC; T M P WORLDWIDE INC,"TMPW, MNST, MWW",2001-06-04,2011-12-16
Removed,80266,QLOGIC CORP,QLGC,2000-12-12,2011-01-14
Removed,80303,A K STEEL HOLDING CORP,"AKST, AKS",2008-07-01,2011-12-16
Removed,90609,NOVELL INC,NOVL,1991-11-01,2011-04-27
Removed,51706,MARSHALL & ILSLEY CORP; MARSHALL & ILSLEY CORP NEW,"MRIS, MI",2002-02-11,2011-07-05
Removed,80406,PROLOGIS; PROLOGIS TRUST; SECURITY CAPITAL INDUSTRIAL TR,"PLD, SCN",2003-07-17,2011-06-02
Removed,76625,CEPHALON INC,CEPH,2008-11-17,2011-10-14
Removed,85032,QWEST COMMUNICATIONS INTL INC,"QWST, Q",2000-07-06,2011-03-31
Removed,48274,NORTHERN ILL GAS CO; NICOR INC,GAS,1989-08-03,2011-12-12
Removed,15560,RADIOSHACK CORP; AMERICAN HIDE & LEATHER CO; TANDY CORP; GENERAL AMERICAN INDUSTRIES INC,"TAN, RSH",1973-03-01,2011-06-30
Removed,75257,TELLABS INC,TLAB,1995-07-03,2011-12-20
Removed,26382,MASSEY ENERGY CO; FLUOR CORP; FLUOR LTD,"FLR, MEE",2008-06-23,2011-06-01
Removed,42796,MEREDITH CORP,MDP,1968-05-23,2011-01-03
Removed,81776,SUNEDISON INC; M E M C ELECTRONIC MATERIALS INC,"SUNE, WFR",2007-05-31,2011-12-16
Removed,10137,WEST PENN ELECTRIC CO; ALLEGHENY ENERGY INC; ALLEGHENY POWER SYSTEMS INC; AMERICAN WATER WORKS & ELEC INC,"AYP, AYE",2000-12-11,2011-02-25
