Date,Value
1945-10-01,44653
1946-10-01,49889
1947-10-01,56781
1948-10-01,62811
1949-10-01,64395
1950-10-01,70439
1951-10-01,78867
1952-01-01,79982
1952-04-01,81411
1952-07-01,83192
1952-10-01,85098
1953-01-01,86711
1953-04-01,87961
1953-07-01,89017
1953-10-01,89253
1954-01-01,90352
1954-04-01,90725
1954-07-01,91872
1954-10-01,92843
1955-01-01,93896
1955-04-01,95914
1955-07-01,97632
1955-10-01,101216
1956-01-01,103791
1956-04-01,106472
1956-07-01,108575
1956-10-01,110961
1957-01-01,113756
1957-04-01,116774
1957-07-01,118734
1957-10-01,120633
1958-01-01,122620
1958-04-01,123714
1958-07-01,125303
1958-10-01,127968
1959-01-01,129231
1959-04-01,132392
1959-07-01,134057
1959-10-01,136647
1960-01-01,139272
1960-04-01,141913
1960-07-01,143167
1960-10-01,145595
1961-01-01,146198
1961-04-01,148196
1961-07-01,149684
1961-10-01,152991
1962-01-01,154537
1962-04-01,157694
1962-07-01,160115
1962-10-01,163471
1963-01-01,165593
1963-04-01,167943
1963-07-01,170151
1963-10-01,174187
1964-01-01,176590
1964-04-01,179981
1964-07-01,183449
1964-10-01,187929
1965-01-01,193189
1965-04-01,197976
1965-07-01,202871
1965-10-01,208197
1966-01-01,214567
1966-04-01,222360
1966-07-01,228551
1966-10-01,232927
1967-01-01,239692
1967-04-01,246049
1967-07-01,251645
1967-10-01,255253
1968-01-01,263718
1968-04-01,270520
1968-07-01,278278
1968-10-01,286805
1969-01-01,295197
1969-04-01,304811
1969-07-01,313227
1969-10-01,320276
1970-01-01,340260
1970-04-01,351045
1970-07-01,358709
1970-10-01,365371
1971-01-01,372802
1971-04-01,380947
1971-07-01,389653
1971-10-01,395247
1972-01-01,406924
1972-04-01,415268
1972-07-01,424653
1972-10-01,436833
1973-01-01,452646
1973-04-01,468869
1973-07-01,489094
1973-10-01,506316
1974-01-01,522214
1974-04-01,540484
1974-07-01,553784
1974-10-01,565221
1975-01-01,570316
1975-04-01,572345
1975-07-01,576400
1975-10-01,579983
1976-01-01,584730
1976-04-01,595318
1976-07-01,607147
1976-10-01,620242
1977-01-01,637664
1977-04-01,653209
1977-07-01,670301
1977-10-01,694536
1978-01-01,714469
1978-04-01,734520
1978-07-01,749185
1978-10-01,769609
1979-01-01,793376
1979-04-01,815005
1979-07-01,837024
1979-10-01,854982
1980-01-01,876745
1980-04-01,883840
1980-07-01,895758
1980-10-01,922667
1981-01-01,938293
1981-04-01,979539
1981-07-01,1017419
1981-10-01,1041690
1982-01-01,1070947
1982-04-01,1101141
1982-07-01,1127930
1982-10-01,1133060
1983-01-01,1164624
1983-04-01,1188301
1983-07-01,1220561
1983-10-01,1250208
1984-01-01,1298722
1984-04-01,1356792
1984-07-01,1404956
1984-10-01,1463098
1985-01-01,1494791
1985-04-01,1534690
1985-07-01,1578046
1985-10-01,1645088
1986-01-01,1689872
1986-04-01,1744363
1986-07-01,1804994
1986-10-01,1874981
1987-01-01,1919802
1987-04-01,1961382
1987-07-01,2014688
1987-10-01,2071514
1988-01-01,2121675
1988-04-01,2177149
1988-07-01,2218830
1988-10-01,2289762
1989-01-01,2344385
1989-04-01,2403860
1989-07-01,2432747
1989-10-01,2482035
1990-01-01,2529951
1990-04-01,2566832
1990-07-01,2593249
1990-10-01,2613894
1991-01-01,2595754
1991-04-01,2595735
1991-07-01,2581301
1991-10-01,2556446
1992-01-01,2564386
1992-04-01,2564493
1992-07-01,2575089
1992-10-01,2574349
1993-01-01,2601186
1993-04-01,2638699
1993-07-01,2681075
1993-10-01,2722099
1994-01-01,2784412
1994-04-01,2830783
1994-07-01,2879971
1994-10-01,2930133
1995-01-01,2988770
1995-04-01,3054812
1995-07-01,3089682
1995-10-01,3141423
1996-01-01,3172843
1996-04-01,3232368
1996-07-01,3277777
1996-10-01,3302602
1997-01-01,3366649
1997-04-01,3441517
1997-07-01,3544383
1997-10-01,3623539
1998-01-01,3738257
1998-04-01,3868850
1998-07-01,3971834
1998-10-01,4070607
1999-01-01,4191035
1999-04-01,4259533
1999-07-01,4412803
1999-10-01,4477210
2000-01-01,4598224
2000-04-01,4707875
2000-07-01,4767906
2000-10-01,4828149
2001-01-01,4833084
2001-04-01,4917015
2001-07-01,4951084
2001-10-01,4969379
2002-01-01,4984813
2002-04-01,4982733
2002-07-01,4978380
2002-10-01,4986640
2003-01-01,4982739
2003-04-01,4986364
2003-07-01,5027076
2003-10-01,5022088
2004-01-01,5096909
2004-04-01,5110624
2004-07-01,5175890
2004-10-01,5253240
2005-01-01,5321955
2005-04-01,5395388
2005-07-01,5434577
2005-10-01,5535584
2006-01-01,5653660
2006-04-01,5762397
2006-07-01,5806500
2006-10-01,5948632
2007-01-01,6080616
2007-04-01,6278260
2007-07-01,6484070
2007-10-01,6641589
2008-01-01,6766665
2008-04-01,6885648
2008-07-01,6956857
2008-10-01,6919005
2009-01-01,6863317
2009-04-01,6796849
2009-07-01,6650604
2009-10-01,6477691
2010-01-01,6456101
2010-04-01,6396109
2010-07-01,6440644
2010-10-01,6375555
2011-01-01,6401324
2011-04-01,6504597
2011-07-01,6603666
2011-10-01,6714331
2012-01-01,6759674
2012-04-01,6829854
2012-07-01,6964708
2012-10-01,7125957
2013-01-01,7171993
2013-04-01,7308611
2013-07-01,7479943
2013-10-01,7584537
2014-01-01,7711509
2014-04-01,7826470
2014-07-01,7955326
2014-10-01,8130000
2015-01-01,8297256
2015-04-01,8514775
2015-07-01,8638420
2015-10-01,8737104
2016-01-01,8931709
2016-04-01,8982521
2016-07-01,9066346
2016-10-01,9027668
2017-01-01,9193604
2017-04-01,9326456
2017-07-01,9416468
2017-10-01,9578875
2018-01-01,9680018
2018-04-01,10057001
2018-07-01,10174024
2018-10-01,10284523
2019-01-01,10502394
2019-04-01,10629583
2019-07-01,10829589
2019-10-01,10882731
2020-01-01,11642421
2020-04-01,12115674
2020-07-01,12011887
2020-10-01,11952396
2021-01-01,12076408
2021-04-01,12331778
2021-07-01,12495484
2021-10-01,12679531
2022-01-01,12904176
2022-04-01,13109779
2022-07-01,13193851
2022-10-01,13155010
2023-01-01,13309194
2023-04-01,13355705
2023-07-01,13388386
2023-10-01,13385390
2024-01-01,13554635
2024-04-01,13721094
2024-07-01,13846060
2024-10-01,13710724
2025-01-01,13847420
2025-04-01,13975179
2025-07-01,14132492
