Date,Value
1945-10-01,29442
1946-10-01,36067
1947-10-01,44913
1948-10-01,53423
1949-10-01,61273
1950-10-01,74845
1951-10-01,83447
1952-01-01,85700
1952-04-01,89022
1952-07-01,91883
1952-10-01,95595
1953-01-01,99754
1953-04-01,103185
1953-07-01,105582
1953-10-01,108158
1954-01-01,109969
1954-04-01,112672
1954-07-01,115975
1954-10-01,120453
1955-01-01,125737
1955-04-01,131665
1955-07-01,136861
1955-10-01,141563
1956-01-01,145632
1956-04-01,149514
1956-07-01,152606
1956-10-01,156400
1957-01-01,159998
1957-04-01,163621
1957-07-01,166411
1957-10-01,168574
1958-01-01,170187
1958-04-01,172308
1958-07-01,175485
1958-10-01,180368
1959-01-01,185158
1959-04-01,190686
1959-07-01,196494
1959-10-01,202312
1960-01-01,205944
1960-04-01,211105
1960-07-01,215384
1960-10-01,219857
1961-01-01,223424
1961-04-01,227802
1961-07-01,231794
1961-10-01,237897
1962-01-01,241979
1962-04-01,247269
1962-07-01,253278
1962-10-01,259748
1963-01-01,265529
1963-04-01,273045
1963-07-01,280355
1963-10-01,288207
1964-01-01,295158
1964-04-01,302628
1964-07-01,309327
1964-10-01,317126
1965-01-01,323883
1965-04-01,331135
1965-07-01,337889
1965-10-01,345859
1966-01-01,352482
1966-04-01,359679
1966-07-01,363409
1966-10-01,368389
1967-01-01,371777
1967-04-01,376520
1967-07-01,382306
1967-10-01,402313
1968-01-01,397669
1968-04-01,407891
1968-07-01,415109
1968-10-01,426687
1969-01-01,429576
1969-04-01,438266
1969-07-01,443618
1969-10-01,453267
1970-01-01,451256
1970-04-01,453903
1970-07-01,459349
1970-10-01,467157
1971-01-01,475664
1971-04-01,485229
1971-07-01,496017
1971-10-01,511303
1972-01-01,524671
1972-04-01,540098
1972-07-01,553144
1972-10-01,571260
1973-01-01,590517
1973-04-01,604553
1973-07-01,620759
1973-10-01,636669
1974-01-01,649073
1974-04-01,664213
1974-07-01,678860
1974-10-01,691463
1975-01-01,700256
1975-04-01,708387
1975-07-01,724097
1975-10-01,747467
1976-01-01,767638
1976-04-01,788201
1976-07-01,808287
1976-10-01,836251
1977-01-01,864809
1977-04-01,897922
1977-07-01,931219
1977-10-01,966499
1978-01-01,1002802
1978-04-01,1046971
1978-07-01,1088856
1978-10-01,1128011
1979-01-01,1170217
1979-04-01,1211369
1979-07-01,1255569
1979-10-01,1296896
1980-01-01,1338608
1980-04-01,1352030
1980-07-01,1381252
1980-10-01,1420187
1981-01-01,1442338
1981-04-01,1474872
1981-07-01,1498878
1981-10-01,1526550
1982-01-01,1545004
1982-04-01,1564464
1982-07-01,1567289
1982-10-01,1597887
1983-01-01,1608036
1983-04-01,1652377
1983-07-01,1700844
1983-10-01,1759572
1984-01-01,1813139
1984-04-01,1870217
1984-07-01,1915438
1984-10-01,1977628
1985-01-01,2078562
1985-04-01,2142766
1985-07-01,2223574
1985-10-01,2329728
1986-01-01,2383822
1986-04-01,2436276
1986-07-01,2514104
1986-10-01,2592227
1987-01-01,2626546
1987-04-01,2706761
1987-07-01,2774485
1987-10-01,2818757
1988-01-01,2894766
1988-04-01,2967780
1988-07-01,3038213
1988-10-01,3102094
1989-01-01,3167159
1989-04-01,3242022
1989-07-01,3314100
1989-10-01,3386020
1990-01-01,3479871
1990-04-01,3541855
1990-07-01,3593752
1990-10-01,3646226
1991-01-01,3702063
1991-04-01,3758137
1991-07-01,3788997
