Date,Value
1901-06-30,0.063
1902-06-30,0.077
1903-06-30,0.045
1904-06-30,-0.043
1905-06-30,-0.023
1906-06-30,0.025
1907-06-30,0.087
1908-06-30,-0.057
1909-06-30,-0.089
1910-06-30,-0.018
1911-06-30,0.011
1912-06-30,0.003
1913-06-30,0.000
1914-06-30,0.000
1915-06-30,-0.063
1916-06-30,0.048
1917-06-30,-0.853
1918-06-30,-9.032
1919-06-30,-13.363
1920-06-30,0.291
1921-06-30,0.509
1922-06-30,0.736
1923-06-30,0.713
1924-06-30,0.963
1925-06-30,0.717
1926-06-30,0.865
1927-06-30,1.155
1928-06-30,0.939
1929-06-30,0.734
1930-06-30,0.738
1931-06-30,-0.462
1932-06-30,-2.735
1933-06-30,-2.602
1934-06-30,-3.586
1935-06-30,-2.803
1936-06-30,-4.304
1937-06-30,-2.193
1938-06-30,-0.089
1939-06-30,-2.846
1940-06-30,-2.920
1941-06-30,-4.941
1942-06-30,-20.503
1943-06-30,-54.554
1944-06-30,-47.557
1945-06-30,-47.553
1946-06-30,-15.936
1947-06-30,4.018
1948-06-30,11.796
1949-06-30,0.580
1950-06-30,-3.119
1951-06-30,6.102
1952-06-30,-1.519
1953-06-30,-6.493
1954-06-30,-1.154
1955-06-30,-2.993
1956-06-30,3.947
1957-06-30,3.412
1958-06-30,-2.769
1959-06-30,-12.849
1960-06-30,0.301
1961-06-30,-3.335
1962-06-30,-7.146
1963-06-30,-4.756
1964-06-30,-5.915
1965-06-30,-1.411
1966-06-30,-3.698
1967-06-30,-8.643
1968-06-30,-25.161
1969-06-30,3.242
1970-06-30,-2.842
1971-06-30,-23.033
1972-06-30,-23.373
1973-06-30,-14.908
1974-06-30,-6.135
1975-06-30,-53.242
1976-06-30,-73.732
1977-09-30,-53.659
1978-09-30,-59.185
1979-09-30,-40.726
1980-09-30,-73.830
1981-09-30,-78.968
1982-09-30,-127.977
1983-09-30,-207.802
1984-09-30,-185.367
1985-09-30,-212.308
1986-09-30,-221.227
1987-09-30,-149.730
1988-09-30,-155.178
1989-09-30,-152.639
1990-09-30,-221.036
1991-09-30,-269.238
1992-09-30,-290.321
1993-09-30,-255.051
1994-09-30,-203.186
1995-09-30,-163.952
1996-09-30,-107.431
1997-09-30,-21.884
1998-09-30,69.270
1999-09-30,125.610
2000-09-30,236.241
2001-09-30,128.236
2002-09-30,-157.758
2003-09-30,-377.585
2004-09-30,-412.727
2005-09-30,-318.346
2006-09-30,-248.181
2007-09-30,-160.701
2008-09-30,-458.553
2009-09-30,-1412.688
2010-09-30,-1294.373
2011-09-30,-1299.599
2012-09-30,-1076.573
2013-09-30,-679.775
2014-09-30,-484.793
2015-09-30,-441.960
2016-09-30,-584.650
2017-09-30,-665.450
2018-09-30,-779.074
2019-09-30,-983.588
2020-09-30,-3132.456
2021-09-30,-2775.350
2022-09-30,-1375.920
2023-09-30,-1695.240
2024-09-30,-1816.790
2025-09-30,-1775.357
