Date,Value
1974-01-01,0.263
1974-04-01,0.57
1974-07-01,1.386
1974-10-01,2.379
1975-01-01,3.62
1975-04-01,3.661
1975-07-01,3.708
1975-10-01,3.645
1976-01-01,3.712
1976-04-01,3.43
1976-07-01,3.421
1976-10-01,3.404
1977-01-01,3.46
1977-04-01,3.443
1977-07-01,3.463
1977-10-01,3.887
1978-01-01,5.62
1978-04-01,6.959
1978-07-01,8.407
1978-10-01,10.808
1979-01-01,18.02
1979-04-01,25.915
1979-07-01,34.194
1979-10-01,45.214
1980-01-01,61.292
1980-04-01,77.827
1980-07-01,79.901
1980-10-01,76.415
1981-01-01,114.223
1981-04-01,129.871
1981-07-01,164.47
1981-10-01,186.305
1982-01-01,198.732
1982-04-01,209.68
1982-07-01,235.246
1982-10-01,219.928
1983-01-01,197.336
1983-04-01,180.893
1983-07-01,179.59
1983-10-01,179.467
1984-01-01,195.074
1984-04-01,200.096
1984-07-01,205.269
1984-10-01,233.554
1985-01-01,241
1985-04-01,247.095
1985-07-01,243.416
1985-10-01,243.803
1986-01-01,266.529
1986-04-01,278.099
1986-07-01,296.048
1986-10-01,292.152
1987-01-01,304.475
1987-04-01,301.489
1987-07-01,306.182
1987-10-01,316.096
1988-01-01,344.684
1988-04-01,327.808
1988-07-01,327.157
1988-10-01,338.862
1989-01-01,365.061
1989-04-01,385.856
1989-07-01,416.782
1989-10-01,430.007
1990-01-01,465.696
1990-04-01,455.295
1990-07-01,486.898
1990-10-01,501.268
1991-01-01,555.411
1991-04-01,535.657
1991-07-01,536.008
1991-10-01,542.441
1992-01-01,574.836
1992-04-01,559.738
1992-07-01,556.864
1992-10-01,546.194
1993-01-01,559.524
1993-04-01,552.412
1993-07-01,550.522
1993-10-01,565.319
1994-01-01,582.288
1994-04-01,576.632
1994-07-01,586.195
1994-10-01,611.005
1995-01-01,641.874
1995-04-01,686.673
1995-07-01,710.873
1995-10-01,753.018
1996-01-01,824.202
1996-04-01,817.748
1996-07-01,852.063
1996-10-01,901.807
1997-01-01,965.433
1997-04-01,963.7
1997-07-01,1015.127
1997-10-01,1058.885
1998-01-01,1142.406
1998-04-01,1168.511
1998-07-01,1266.902
1998-10-01,1351.678
1999-01-01,1438.367
1999-04-01,1420.845
1999-07-01,1476.728
1999-10-01,1613.146
2000-01-01,1696.149
2000-04-01,1658.25
2000-07-01,1727.378
2000-10-01,1845.248
2001-01-01,2035.459
2001-04-01,2052.455
2001-07-01,2161.638
2001-10-01,2285.31
2002-01-01,2247.857
2002-04-01,2190.769
2002-07-01,2158.164
2002-10-01,2265.075
2003-01-01,2198.864
2003-04-01,2157.611
2003-07-01,2090.35
2003-10-01,2040.021
2004-01-01,1992.608
2004-04-01,1941.873
2004-07-01,1892.172
2004-10-01,1901.7
2005-01-01,1865.022
2005-04-01,1853.916
2005-07-01,1901.89
2005-10-01,2026.821
2006-01-01,2033.948
2006-04-01,2094.385
2006-07-01,2195.786
2006-10-01,2338.451
2007-01-01,2417.799
2007-04-01,2514.235
2007-07-01,2830.799
2007-10-01,3085.76
2008-01-01,3442.54
2008-04-01,3377.297
2008-07-01,3420.293
2008-10-01,3832.237
2009-01-01,3813.876
2009-04-01,3653.101
2009-07-01,3425.463
2009-10-01,3315.893
2010-01-01,2983.807
2010-04-01,2813.331
2010-07-01,2796.581
2010-10-01,3034.465
2011-01-01,2970.327
2011-04-01,2934.857
2011-07-01,2876.458
2011-10-01,2941.89
2012-01-01,2862.155
2012-04-01,2785.404
2012-07-01,2858.215
2012-10-01,2996.592
2013-01-01,2922.416
2013-04-01,2901.526
2013-07-01,3004.474
2013-10-01,3047.282
2014-01-01,2995.782
2014-04-01,2920.671
2014-07-01,2968.844
2014-10-01,3072.97
2015-01-01,3002.355
2015-04-01,2957.534
2015-07-01,3015.801
2015-10-01,3078.204
2016-01-01,3064.466
2016-04-01,2969.44
2016-07-01,2943.898
2016-10-01,2955.224
2017-01-01,2926.657
2017-04-01,2892.645
2017-07-01,3029.916
2017-10-01,3120.533
2018-01-01,3067.973
2018-04-01,3092.12
2018-07-01,3143.468
2018-10-01,3289.687
2019-01-01,3483.726
2019-04-01,3600.902
2019-07-01,3834.01
2019-10-01,4002.466
2020-01-01,4727.179
2020-04-01,5087.59
2020-07-01,4846.839
2020-10-01,4765.92
2021-01-01,4979.998
2021-04-01,5015.397
2021-07-01,5019.225
2021-10-01,5205.455
2022-01-01,5090.707
2022-04-01,5032.439
2022-07-01,5084.242
2022-10-01,5223.061
2023-01-01,5692.567
2023-04-01,5917.351
2023-07-01,6142.962
2023-10-01,6357.551
2024-01-01,6440.7
2024-04-01,6548.352
2024-07-01,6839.054
2024-10-01,7243.18
2025-01-01,7397.905
2025-04-01,7481.232
2025-07-01,7774.054
