Date,Price,EPS,TTM,PE-Ratio,Revenue,Shares
2025-12-31,271.61,2.84,7.9,34.38,143756,14810
2025-09-30,254.15,1.84,7.46,34.07,102466,15005
2025-06-30,204.55,1.57,6.59,31.04,94036,14948
2025-03-31,221.17,1.65,6.42,34.45,95359,15056
2024-12-31,249.06,2.4,6.3,39.53,124300,15151
2024-09-30,231.48,0.97,6.08,38.07,94930,15408
2024-06-30,209,1.4,6.58,31.76,85777,15348
2024-03-31,169.93,1.53,6.44,26.39,90753,15465
2023-12-31,190.55,2.18,6.43,29.63,119575,15577
2023-09-30,169.23,1.47,6.13,27.61,89498,15813
2023-06-30,191.46,1.26,5.95,32.18,81797,15775
2023-03-31,162.55,1.52,5.89,27.6,94836,15847
2022-12-31,127.88,1.88,5.89,21.71,117154,15956
2022-09-30,135.79,1.29,6.11,22.22,90146,16326
2022-06-30,134.15,1.2,6.05,22.17,82959,16262
2022-03-31,171.08,1.52,6.15,27.82,97278,16403
2021-12-31,173.76,2.1,6.03,28.82,123945,16519
2021-09-30,138.26,1.23,5.61,24.65,83360,16865
2021-06-30,133.63,1.3,5.12,26.1,81434,16782
2021-03-31,118.97,1.4,4.47,26.62,89584,16929
2020-12-31,129.05,1.68,3.71,34.78,111439,17114
2020-09-30,112.44,0.74,3.28,34.28,64698,17528
2020-06-30,88.38,0.65,3.31,26.7,59685,17419
2020-03-31,61.44,0.64,3.21,19.14,58313,17619
2019-12-31,70.79,1.25,3.19,22.19,91819,17818
2019-09-30,53.83,0.77,2.99,18,64040,18596
2019-06-30,47.39,0.55,2.96,16.01,53809,18406
2019-03-31,45.3,0.62,3,15.1,58015,18803
2018-12-31,37.46,1.05,3.06,12.24,84310,19093
2018-09-30,53.42,0.74,2.98,17.93,62900,20000
2018-06-30,43.66,0.59,2.76,15.82,53265,19706
2018-03-31,39.42,0.68,2.59,15.22,61137,20274
2017-12-31,39.6,0.97,2.44,16.23,88293,20631
2017-09-30,35.93,0.52,2.31,15.55,52579,21007
2017-06-30,33.44,0.42,2.22,15.06,45408,20934
2017-03-31,33.22,0.53,2.16,15.38,52896,21047
2016-12-31,26.67,0.84,2.11,12.64,78351,21312
2016-09-30,25.9,0.43,2.09,12.39,46852,22001
2016-06-30,21.78,0.36,2.16,10.08,42358,21891
2016-03-31,24.68,0.48,2.26,10.92,50557,22164
2015-12-31,23.71,0.82,2.36,10.05,75872,22377
2015-09-30,24.74,0.5,2.31,10.71,51501,23172
2015-06-30,28.01,0.46,2.17,12.91,49605,23092
2015-03-31,27.67,0.58,2.03,13.63,58010,23339
2014-12-31,24.45,0.77,1.87,13.07,74599,23527
2014-09-30,22.22,0.36,1.62,13.72,42123,24491
2014-06-30,20.39,0.32,1.56,13.07,37432,24207
2014-03-31,16.73,0.42,1.51,11.08,45646,24627
2013-12-31,17.39,0.52,1.45,11.99,57594,25241
2013-09-30,14.69,0.3,1.42,10.35,37472,26087
2013-06-30,12.14,0.27,1.43,8.49,35323,25879
2013-03-31,13.46,0.36,1.49,9.03,43603,26489
2012-12-31,16.09,0.49,1.57,10.25,54512,26522
2012-09-30,20.07,0.31,1.58,12.7,35966,26470
2012-06-30,17.5,0.33,1.52,11.51,35023,26518
2012-03-31,17.96,0.44,1.47,12.22,39186,26457
2011-12-31,12.14,0.5,1.26,9.63,46333,26364
2011-09-30,11.43,0.25,,,28270,26226
2011-06-30,10.06,0.28,,,28571,26259
2011-03-31,10.44,0.23,,,24667,26206
