Date,Price,EPS,TTM,PE-Ratio,Revenue,Shares
2025-12-31,230.82,1.95,7.17,32.19,213386,10827
2025-09-30,219.57,1.95,7.08,31.01,180169,10845
2025-06-30,219.39,1.68,6.56,33.44,167702,10806
2025-03-31,190.26,1.59,6.14,30.99,155667,10793
2024-12-31,219.39,1.86,5.53,39.67,187792,10721
2024-09-30,186.33,1.43,4.67,39.90,158877,10735
2024-06-30,193.25,1.26,4.18,46.23,147977,10708
2024-03-31,180.38,0.98,3.57,50.53,143313,10670
2023-12-31,151.94,1,2.9,52.39,169961,10492
2023-09-30,127.12,0.94,1.93,65.87,143083,10558
2023-06-30,130.36,0.65,1.27,102.65,134383,10449
2023-03-31,103.29,0.31,0.42,245.93,127358,10347
2022-12-31,84,0.03,-0.27,-311.11,149204,10189
2022-09-30,113,0.28,1.08,104.63,127101,10331
2022-06-30,106.21,-0.2,1.11,95.68,121234,10175
2022-03-31,163,-0.38,2.07,78.74,116444,10171
2021-12-31,166.72,1.38,3.24,51.46,137412,10296
2021-09-30,164.25,0.31,2.57,63.91,110812,10309
2021-06-30,172.01,0.76,2.88,59.73,113080,10286
2021-03-31,154.7,0.79,2.64,58.60,108518,10260
2020-12-31,162.85,0.71,2.1,77.55,125555,10198
2020-09-30,157.44,0.62,1.71,92.07,96145,10240
2020-06-30,137.94,0.52,1.3,106.11,88912,10180
2020-03-31,97.49,0.25,1.04,93.74,75452,10120
2019-12-31,92.39,0.32,1.15,80.34,87437,10080
2019-09-30,86.8,0.21,1.13,76.81,69981,10080
2019-06-30,94.68,0.26,1.21,78.25,63404,10060
2019-03-31,89.04,0.36,1.2,74.20,59700,10040
2018-12-31,75.1,0.3,1,75.10,72383,10000
2018-09-30,100.15,0.29,0.89,112.53,56576,10020
2018-06-30,84.99,0.25,0.63,134.90,52886,10000
2018-03-31,72.37,0.16,0.4,180.93,51042,9960
2017-12-31,58.47,0.19,0.31,188.61,60453,9860
2017-09-30,48.07,0.03,0.2,240.35,43744,9880
2017-06-30,48.4,0.02,0.2,242.00,37955,9840
2017-03-31,44.33,0.07,0.27,164.19,35714,9800
2016-12-31,37.49,0.08,0.25,149.96,43741,9680
2016-09-30,41.87,0.03,0.22,190.32,32714,9700
2016-06-30,35.78,0.09,0.2,178.90,30404,9660
2016-03-31,29.68,0.05,0.12,247.33,29128,9620
2015-12-31,33.79,0.05,0.06,563.17,35746,9540
2015-09-30,25.59,0.01,0.03,853.00,25358,9560
2015-06-30,21.7,0.01,-0.03,-723.33,23185,9520
2015-03-31,18.61,-0.01,-0.05,-372.20,22717,9300
2014-12-31,15.52,0.02,-0.03,-517.33,29328,9240
2014-09-30,16.12,-0.05,-0.02,-806.00,20579,9260
2014-06-30,16.24,-0.01,0.02,812.00,19340,9220
2014-03-31,16.82,0.01,0.03,560.67,19741,9360
2013-12-31,19.94,0.03,0.03,664.67,25586,9300
2013-09-30,15.63,-0.01,0.01,1563.00,17092,9140
2013-06-30,13.88,0,-0.01,-1388.00,15704,9120
2013-03-31,13.32,0.01,-0.01,-1332.00,16070,9260
2012-12-31,12.54,0.01,-0.01,-1254.00,21268,9060
2012-09-30,12.72,-0.03,0,,13806,9040
2012-06-30,11.42,0,0.04,285.50,12834,9160
2012-03-31,10.13,0.01,0.06,168.83,13185,9200
2011-12-31,8.66,0.02,0.07,123.71,17431,9220
2011-09-30,10.81,0.01,,,10876,9220
2011-06-30,10.22,0.02,,,9913,9200
2011-03-31,9.01,0.02,,,9857,9180
