Date,Price,EPS,TTM,PE-Ratio,Revenue,Shares
2025-12-31,483.62,5.16,15.99,30.25,81273,7460
2025-09-30,516.98,3.72,14.06,36.77,77673,7466
2025-06-30,495.67,3.65,13.64,36.34,76441,7465
2025-03-31,373.39,3.46,12.93,28.88,70066,7461
2024-12-31,418.41,3.23,12.41,33.72,69632,7468
2024-09-30,426.3,3.3,12.11,35.2,65585,7470
2024-06-30,441.99,2.94,11.8,37.46,64727,7469
2024-03-31,415.31,2.94,11.54,35.99,61858,7472
2023-12-31,370.52,2.93,11.05,33.53,62020,7468
2023-09-30,310.48,2.99,10.32,30.09,56517,7462
2023-06-30,334.15,2.68,9.68,34.52,56189,7472
2023-03-31,282.27,2.45,9.24,30.55,52857,7464
2022-12-31,234.22,2.2,9.01,26,52747,7473
2022-09-30,226.82,2.35,9.29,24.42,50122,7485
2022-06-30,249.6,2.24,9.65,25.87,51865,7540
2022-03-31,298.93,2.22,9.58,31.2,49360,7534
2021-12-31,325.42,2.48,9.39,34.66,51728,7555
2021-09-30,272.28,2.71,8.94,30.46,45317,7567
2021-06-30,261.14,2.17,8.05,32.44,46152,7608
2021-03-31,226.75,2.03,7.35,30.85,41706,7597
2020-12-31,213.42,2.03,6.72,31.76,43076,7616
2020-09-30,201.29,1.82,6.2,32.47,37154,7637
2020-06-30,194.3,1.47,5.76,33.73,38033,7683
2020-03-31,150.15,1.4,5.99,25.07,35021,7675
2019-12-31,149.73,1.51,5.73,26.13,36906,7691
2019-09-30,131.56,1.38,5.3,24.82,33055,7710
2019-06-30,126.34,1.7,5.06,24.97,33717,7753
2019-03-31,110.82,1.14,4.52,24.52,30571,7744
2018-12-31,94.92,1.08,4.33,21.92,32471,7768
2018-09-30,106.43,1.14,2.43,43.8,29084,7766
2018-06-30,91.41,1.16,2.13,42.92,30085,7794
2018-03-31,84.24,0.95,2,42.12,26819,7794
2017-12-31,78.58,-0.82,1.75,44.9,28918,7710
2017-09-30,68.09,0.84,3.37,20.2,24538,7799
2017-06-30,62.67,1.03,3.25,19.28,25605,7832
2017-03-31,59.54,0.7,3.08,19.33,23212,7813
2016-12-31,55.84,0.8,2.85,19.59,25826,7830
2016-09-30,51.41,0.72,2.67,19.25,21928,7876
2016-06-30,45.39,0.86,2.56,17.73,26448,8013
2016-03-31,48.65,0.47,1.32,36.86,20531,7985
2015-12-31,48.52,0.62,1.46,33.23,23796,8051
2015-09-30,38.45,0.61,1.55,24.81,20379,8084
2015-06-30,38.1,-0.38,1.48,25.74,22180,8254
2015-03-31,34.86,0.61,2.41,14.46,21729,8237
2014-12-31,39.55,0.71,2.48,15.95,26470,8297
2014-09-30,39.22,0.54,2.55,15.38,23201,8351
2014-06-30,35.06,0.55,2.63,13.33,23382,8399
2014-03-31,34.22,0.68,2.65,12.91,20403,8367
2013-12-31,31,0.78,2.69,11.52,24519,8395
2013-09-30,27.37,0.62,2.67,10.25,18529,8434
2013-06-30,28.21,0.57,2.58,10.93,19896,8470
2013-03-31,23.2,0.72,1.95,11.9,20489,8429
2012-12-31,21.49,0.76,1.83,11.74,21456,8444
2012-09-30,23.75,0.53,1.85,12.84,16008,8494
2012-06-30,24.25,-0.06,2,12.13,18059,8506
2012-03-31,25.4,0.6,2.75,9.24,17407,8498
2011-12-31,20.31,0.78,2.76,7.36,20885,8465
2011-09-30,19.33,0.68,,,17372,8490
2011-06-30,20.06,0.69,,,17367,8593
2011-03-31,19.47,0.61,,,16428,8510
