Date,Price,EPS,TTM,PE-Ratio,Revenue,Shares
2025-12-31,93.76,0.56,2.53,37.06,12051,4344
2025-09-30,119.89,0.59,2.39,50.16,11510,4340
2025-06-30,133.91,0.72,2.34,57.23,11079,4349
2025-03-31,93.25,0.66,2.11,44.19,10543,4370
2024-12-31,89.13,0.42,1.98,45.02,10247,4393
2024-09-30,70.93,0.54,1.77,40.07,9825,4379
2024-06-30,67.49,0.49,1.6,42.18,9559,4397
2024-03-31,60.73,0.53,1.44,42.17,9370,4417
2023-12-31,48.69,0.21,1.2,40.58,8833,4495
2023-09-30,37.76,0.37,1,37.76,8542,4500
2023-06-30,44.05,0.33,0.94,46.86,8187,4516
2023-03-31,34.55,0.29,0.93,37.15,8162,4524
2022-12-31,29.49,0.01,0.99,29.79,7852,4513
2022-09-30,23.54,0.31,1.11,21.21,7926,4503
2022-06-30,17.49,0.32,1.12,15.62,7970,4502
2022-03-31,37.46,0.35,1.1,34.05,7868,4530
2021-12-31,60.24,0.13,1.13,53.31,7709,4554
2021-09-30,61.03,0.32,1.12,54.49,7483,4549
2021-06-30,52.82,0.3,0.97,54.45,7342,4551
2021-03-31,52.17,0.38,0.83,62.86,7163,4556
2020-12-31,54.07,0.12,0.61,88.64,6644,4542
2020-09-30,50,0.17,0.62,80.65,6436,4551
2020-06-30,45.5,0.16,0.6,75.83,6148,4539
2020-03-31,37.55,0.16,0.5,75.10,5768,4525
2019-12-31,32.36,0.13,0.42,77.05,5467,4518
2019-09-30,26.76,0.15,0.32,83.63,5245,4516
2019-06-30,36.73,0.06,0.26,141.27,4923,4522
2019-03-31,35.66,0.08,0.29,122.97,4521,4519
2018-12-31,26.77,0.03,0.27,99.15,4187,4512
2018-09-30,37.41,0.09,0.28,133.61,3999,4519
2018-06-30,39.14,0.09,0.22,177.91,3907,4516
2018-03-31,29.54,0.06,0.15,196.93,3701,4504
2017-12-31,19.2,0.04,0.13,147.69,3286,4468
2017-09-30,18.14,0.03,0.11,164.91,2985,4474
2017-06-30,14.94,0.02,0.09,166.00,2785,4463
2017-03-31,14.78,0.04,0.08,184.75,2637,4455
2016-12-31,12.38,0.02,0.05,247.60,2478,4387
2016-09-30,9.86,0.01,0.04,246.50,2290,4384
2016-06-30,9.15,0.01,0.04,228.75,2105,4382
2016-03-31,10.22,0.01,0.04,255.50,1958,4380
2015-12-31,11.44,0.01,0.04,286.00,1823,4365
2015-09-30,10.33,0.01,0.05,206.60,1738,4376
2015-06-30,9.38,0.01,0.05,187.60,1645,4361
2015-03-31,5.95,0.01,0.06,99.17,1573,4338
2014-12-31,4.88,0.02,0.06,81.33,1485,4319
2014-09-30,6.45,0.01,0.05,129.00,1409,4327
2014-06-30,6.29,0.02,0.05,125.80,1340,4314
2014-03-31,5.03,0.01,0.04,125.75,1270,4308
2013-12-31,5.26,0.01,0.03,175.33,1175,4253
2013-09-30,4.42,0.01,0.02,221.00,1106,4269
2013-06-30,3.02,0.01,0.01,302.00,1069,4241
2013-03-31,2.7,0,0,,1024,4210
2012-12-31,1.32,0,0,,945,4123
2012-09-30,0.78,0,0.01,78.00,905,4111
2012-06-30,0.98,0,0.03,32.67,889,4117
2012-03-31,1.64,0,0.05,32.80,870,3882
2011-12-31,0.99,0.01,0.07,14.14,876,3806
2011-09-30,1.62,0.02,,,822,3771
2011-06-30,3.75,0.02,,,789,3774
2011-03-31,3.4,0.02,,,719,3797
