Date,Price,EPS,TTM,PE-Ratio,Revenue,Shares
2025-10-31,202.48,1.3,4.03,50.24,57006,24483
2025-07-31,177.85,1.08,3.51,50.67,46743,24532
2025-04-30,108.9,0.76,3.1,35.13,44062,24611
2025-01-31,120.04,0.89,2.94,40.83,39331,24804
2024-10-31,132.72,0.78,2.54,52.25,35082,24774
2024-07-31,116.97,0.67,2.13,54.92,30040,24848
2024-04-30,86.36,0.6,1.71,50.5,26044,24890
2024-01-31,61.49,0.49,1.19,51.67,22103,24940
2023-10-31,40.75,0.37,0.75,54.33,18120,24940
2023-07-31,46.7,0.25,0.41,113.9,13507,24994
2023-04-30,27.73,0.08,0.19,145.95,7192,24900
2023-01-31,19.52,0.05,0.17,114.82,6051,25070
2022-10-31,13.48,0.03,0.24,56.17,5931,24990
2022-07-31,18.13,0.03,0.31,58.48,6704,25160
2022-04-30,18.51,0.06,0.37,50.03,8288,25370
2022-01-31,24.44,0.12,0.39,62.67,7643,25350
2021-10-31,25.51,0.1,0.33,77.3,7103,25380
2021-07-31,19.46,0.09,0.28,69.5,6507,25320
2021-04-30,14.97,0.08,0.22,68.05,5661,25280
2021-01-31,12.95,0.06,0.18,71.94,5003,25100
2020-10-31,12.5,0.05,0.16,78.13,4726,25200
2020-07-31,10.58,0.03,0.15,70.53,3866,25040
2020-04-30,7.28,0.04,0.14,52,3080,24880
2020-01-31,5.88,0.04,0.12,49,3105,24720
2019-10-31,5,0.04,0.1,50,3014,24720
2019-07-31,4.19,0.02,0.11,38.09,2579,24640
2019-04-30,4.49,0.02,0.13,34.54,2220,24640
2019-01-31,3.56,0.02,0.16,22.25,2205,25000
2018-10-31,5.22,0.05,0.19,27.47,3181,25000
2018-07-31,6.06,0.04,0.17,35.65,3123,25040
2018-04-30,5.56,0.05,0.15,37.07,3207,25080
2018-01-31,6.08,0.05,0.12,50.67,2911,25280
2017-10-31,5.11,0.03,0.1,51.1,2636,25120
2017-07-31,4.01,0.02,0.09,44.56,2230,25320
2017-04-30,2.57,0.02,0.08,32.13,1937,25640
2017-01-31,2.69,0.03,0.07,38.43,2173,25960
2016-10-31,1.75,0.02,0.05,35,2004,26120
2016-07-31,1.4,0.01,0.04,35,1428,25360
2016-04-30,0.87,0.01,0.03,29,1305,23960
2016-01-31,0.71,0.01,0.03,23.67,1401,22760
2015-10-31,0.69,0.01,0.03,23,1305,22600
2015-07-31,0.48,0,0.03,16,1153,22240
2015-04-30,0.53,0.01,0.04,13.25,1151,22720
2015-01-31,0.46,0.01,0.04,11.5,1251,22520
2014-10-31,0.47,0.01,0.04,11.75,1225,22320
2014-07-31,0.42,0.01,0.04,10.5,1103,22840
2014-04-30,0.44,0.01,0.03,14.67,1103,22800
2014-01-31,0.37,0.01,0.02,18.5,1144,23800
2013-10-31,0.36,0.01,0.02,18,1054,23550
2013-07-31,0.34,0,0.02,17,977,23680
2013-04-30,0.32,0,0.03,10.67,955,24772
2013-01-31,0.28,0.01,0.03,9.33,1107,24998
2012-10-31,0.27,0.01,0.03,9,1204,25154
2012-07-31,0.31,0.01,0.03,10.33,1044,24926
2012-04-30,0.3,0,0.03,10,925,24951
2012-01-31,0.34,0.01,0.04,8.5,953,24655
2011-10-31,0.34,0.01,,13,1066,24542
2011-07-31,0.32,0.01,,14.02,1017,24557
2011-04-30,0.46,0.01,,45.84,962,24539
2011-03-31,19.47,0.61,,,16428,8510
