Date,Value
2025-12-31,746.068
2025-09-30,738.111
2025-06-30,742.82
2025-03-31,632.724
2024-12-31,601.003
2024-09-30,572.949
2024-06-30,592.692
2024-03-31,584.274
2023-12-31,562.827
2023-09-30,487.273
2023-06-30,465.434
2023-03-31,428.351
2022-12-31,426.788
2022-09-30,457.397
2022-06-30,483.314
2022-03-31,519.036
2021-12-31,526.422
2021-09-30,504.401
2021-06-30,480.485
2021-03-31,409.191
2020-12-31,363.377
2020-09-30,335.732
2020-06-30,338.483
2020-03-31,344.904
2019-12-31,354.16
2019-09-30,333.918
2019-06-30,335.97
2019-03-31,336.617
2018-12-31,335.789
2018-09-30,298.541
2018-06-30,281.443
2018-03-31,258.288
2017-12-31,243.128
2017-09-30,259.992
2017-06-30,235.99
2017-03-31,229.731
2016-12-31,217.424
2016-09-30,201.752
2016-06-30,210.363
2016-03-31,204.069
2015-12-31,203.72
2015-09-30,215.519
2015-06-30,224.55
2015-03-31,231.202
2014-12-31,301.132
2014-09-30,275.629
2014-06-30,291.147
2014-03-31,270.054
2013-12-31,214.791
2013-09-30,215.232
2013-06-30,183.621
2013-03-31,179.03
2012-12-31,174.368
2012-09-30,170.208
2012-06-30,180.176
2012-03-31,185.866
2011-12-31,173.825
2011-09-30,166.563
2011-06-30,163.875
2011-03-31,157.302
2010-12-31,154.617
2010-09-30,145.019
2010-06-30,120.845
2010-03-31,111.554
2009-12-31,92.59
2009-09-30,48.87
2009-06-30,46.335
2009-03-31,54.277
2008-12-31,60.901
2008-09-30,77.419
2008-06-30,80.265
2008-03-31,80.596
2007-12-31,79.088
2007-09-30,77.877
2007-06-30,76.182
2007-03-31,67.901
2006-12-31,61.593
2006-09-30,66.339
2006-06-30,59.397
2006-03-31,65.984
2005-12-31,63.412
