Date,Value
2025-12-31,3635.91
2025-09-30,3730.39
2025-06-30,3905.76
2025-03-31,3500.69
2024-12-31,3663.94
2024-09-30,3612.84
2024-06-30,3661.40
2024-03-31,3633.89
2023-12-31,3598.17
2023-09-30,3474.77
2023-06-30,3559.08
2023-03-31,3457.97
2022-12-31,3357.98
2022-09-30,3139.14
2022-06-30,3100.52
2022-03-31,3093.17
2021-12-31,3007.54
2021-09-30,2928.53
2021-06-30,2858.74
2021-03-31,2664.95
2020-12-31,2535.83
2020-09-30,2459.69
2020-06-30,2422.18
2020-03-31,2420.43
2019-12-31,2446.65
2019-09-30,2359.10
2019-06-30,2342.22
2019-03-31,2319.60
2018-12-31,2224.79
2018-09-30,2305.30
2018-06-30,2187.37
2018-03-31,2098.22
2017-12-31,2011.60
2017-09-30,1992.50
2017-06-30,1920.67
2017-03-31,1875.81
2016-12-31,1817.67
2016-09-30,1779.17
2016-06-30,1779.80
2016-03-31,1774.54
2015-12-31,1723.54
2015-09-30,1718.59
2015-06-30,1726.51
2015-03-31,1714.69
2014-12-31,1643.25
2014-09-30,1550.39
2014-06-30,1505.19
2014-03-31,1401.76
2013-12-31,1414.36
2013-09-30,1455.04
2013-06-30,1422.12
2013-03-31,1412.22
2012-12-31,1378.64
2012-09-30,1372.90
2012-06-30,1333.68
2012-03-31,1320.41
2011-12-31,1248.28
2011-09-30,1216.44
2011-06-30,1164.90
2011-03-31,1123.10
2010-12-31,1076.44
2010-09-30,1041.46
2010-06-30,932.049
2010-03-31,919.062
2009-12-31,858.789
2009-09-30,815.576
2009-06-30,826.185
2009-03-31,859.921
2008-12-31,807.698
2008-09-30,811.742
2008-06-30,813.029
2008-03-31,790.242
2007-12-31,737.507
2007-09-30,759.791
2007-06-30,707.136
2007-03-31,655.096
2006-12-31,611.23
2006-09-30,621.783
2006-06-30,558.069
2006-03-31,539.115
2005-12-31,498.027
