Date,Value
1927-12-01,17.66
1928-01-01,17.57
1928-02-01,17.26
1928-03-01,19.28
1928-04-01,19.75
1928-05-01,20
1928-06-01,19.14
1928-07-01,19.43
1928-08-01,20.87
1928-09-01,21.14
1928-10-01,21.68
1928-11-01,24.28
1928-12-01,24.35
1929-01-01,25.74
1929-02-01,25.59
1929-03-01,25.53
1929-04-01,25.94
1929-05-01,24.83
1929-06-01,27.41
1929-07-01,28.88
1929-08-01,31.71
1929-09-01,30.16
1929-10-01,24.15
1929-11-01,20.92
1929-12-01,21.45
1930-01-01,22.79
1930-02-01,23.28
1930-03-01,24.15
1930-04-01,24.9
1930-05-01,24.49
1930-06-01,20.46
1930-07-01,21.21
1930-08-01,21.37
1930-09-01,18.59
1930-10-01,16.94
1930-11-01,16.57
1930-12-01,15.34
1931-01-01,16.09
1931-02-01,17.93
1931-03-01,16.69
1931-04-01,15.09
1931-05-01,13.02
1931-06-01,14.83
1931-07-01,13.73
1931-08-01,13.86
1931-09-01,9.71
1931-10-01,10.53
1931-11-01,9.5
1931-12-01,8.12
1932-01-01,7.89
1932-02-01,8.29
1932-03-01,7.31
1932-04-01,5.83
1932-05-01,4.47
1932-06-01,4.43
1932-07-01,6.1
1932-08-01,8.39
1932-09-01,8.08
1932-10-01,6.96
1932-11-01,6.55
1932-12-01,6.89
1933-01-01,6.94
1933-02-01,5.66
1933-03-01,5.85
1933-04-01,8.32
1933-05-01,9.64
1933-06-01,10.91
1933-07-01,9.95
1933-08-01,11.09
1933-09-01,9.83
1933-10-01,8.96
1933-11-01,9.88
1933-12-01,10.1
1934-01-01,11.17
1934-02-01,10.76
1934-03-01,10.75
1934-04-01,10.46
1934-05-01,9.61
1934-06-01,9.81
1934-07-01,8.68
1934-08-01,9.15
1934-09-01,9.1
1934-10-01,8.81
1934-11-01,9.54
1934-12-01,9.5
1935-01-01,9.1
1935-02-01,8.74
1935-03-01,8.47
1935-04-01,9.28
1935-05-01,9.58
1935-06-01,10.23
1935-07-01,11.08
1935-08-01,11.32
1935-09-01,11.59
1935-10-01,12.46
1935-11-01,12.95
1935-12-01,13.43
1936-01-01,14.31
1936-02-01,14.55
1936-03-01,14.92
1936-04-01,13.77
1936-05-01,14.4
1936-06-01,14.84
1936-07-01,15.85
1936-08-01,15.99
1936-09-01,16.01
1936-10-01,17.21
1936-11-01,17.28
1936-12-01,17.18
1937-01-01,17.83
1937-02-01,18.09
1937-03-01,17.92
1937-04-01,16.43
1937-05-01,16.26
1937-06-01,15.4
1937-07-01,16.98
1937-08-01,16.04
1937-09-01,13.76
1937-10-01,12.36
1937-11-01,11.11
1937-12-01,10.55
1938-01-01,10.69
1938-02-01,11.34
1938-03-01,8.5
1938-04-01,9.7
1938-05-01,9.27
1938-06-01,11.56
1938-07-01,12.4
1938-08-01,12.06
1938-09-01,12.24
1938-10-01,13.17
1938-11-01,12.73
1938-12-01,13.21
1939-01-01,12.3
1939-02-01,12.7
1939-03-01,10.98
