Symbol,Name,AUM,Avg Daily Share Volume (3mo)
VOO,Vanguard S&P 500 ETF,"$871,216,000.00 ","10,516,507"
IVV,iShares Core S&P 500 ETF,"$745,527,000.00 ","9,616,884"
SPY,State Street SPDR S&P 500 ETF,"$686,408,000.00 ","82,075,367"
VTI,Vanguard Total Stock Market ETF,"$586,721,000.00 ","5,987,684"
QQQ,Invesco QQQ Trust Series I,"$393,107,000.00 ","58,995,684"
VEA,Vanguard FTSE Developed Markets ETF,"$212,270,000.00 ","20,121,709"
VUG,Vanguard Growth ETF,"$197,351,000.00 ","1,645,916"
GLD,SPDR Gold Shares,"$178,032,000.00 ","17,924,104"
IEFA,iShares Core MSCI EAFE ETF,"$175,690,000.00 ","15,572,646"
VTV,Vanguard Value ETF,"$172,143,000.00 ","4,243,397"
BND,Vanguard Total Bond Market ETF,"$153,028,000.00 ","9,466,746"
AGG,iShares Core U.S. Aggregate Bond ETF,"$140,222,000.00 ","9,142,005"
IEMG,iShares Core MSCI Emerging Markets ETF,"$139,187,000.00 ","17,254,109"
VXUS,Vanguard Total International Stock ETF,"$139,136,000.00 ","9,646,910"
IWF,iShares Russell 1000 Growth ETF,"$117,331,000.00 ","2,774,585"
VWO,Vanguard FTSE Emerging Markets ETF,"$112,856,000.00 ","12,628,312"
IJH,iShares Core S&P Mid-Cap ETF,"$110,795,000.00 ","14,912,526"
VGT,Vanguard Information Technology ETF,"$110,317,000.00 ","528,757"
SPYM,State Street SPDR Portfolio S&P 500 ETF,"$108,190,000.00 ","11,814,141"
VIG,Vanguard Dividend Appreciation ETF,"$104,009,000.00 ","1,614,336"
VO,Vanguard Mid-Cap ETF,"$96,544,400.00 ","834,085"
IJR,iShares Core S&P Small-Cap ETF,"$96,027,500.00 ","5,872,964"
RSP,Invesco S&P 500¨ Equal Weight ETF,"$89,551,200.00 ","18,624,717"
XLK,State Street Technology Select Sector SPDR ETF,"$88,372,200.00 ","17,194,678"
SCHD,Schwab US Dividend Equity ETF,"$85,406,900.00 ","21,283,402"
ITOT,iShares Core S&P Total U.S. Stock Market ETF,"$82,550,600.00 ","5,012,472"
IAU,iShares Gold Trust,"$82,504,300.00 ","14,892,118"
BNDX,Vanguard Total International Bond ETF,"$77,996,600.00 ","5,976,812"
SGOV,iShares 0-3 Month Treasury Bond ETF,"$76,227,900.00 ","15,990,138"
VYM,Vanguard High Dividend Yield Index ETF,"$74,806,200.00 ","1,677,964"
EFA,iShares MSCI EAFE ETF,"$74,732,300.00 ","21,980,322"
VB,Vanguard Small Cap ETF,"$73,952,300.00 ","760,233"
IWM,iShares Russell 2000 ETF,"$73,739,400.00 ","39,028,965"
QQQM,Invesco NASDAQ 100 ETF,"$71,415,300.00 ","5,355,349"
IWD,iShares Russell 1000 Value ETF,"$70,273,200.00 ","4,020,187"
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"$65,823,100.00 ","11,171,515"
VT,Vanguard Total World Stock ETF,"$64,618,000.00 ","4,932,841"
IVW,iShares S&P 500 Growth ETF,"$64,473,000.00 ","3,926,010"
SCHX,Schwab U.S. Large-Cap ETF,"$64,224,600.00 ","20,789,434"
VEU,Vanguard FTSE All-World ex-US Index Fund,"$61,111,100.00 ","4,027,438"
SCHF,Schwab International Equity ETF,"$59,051,900.00 ","12,570,416"
IBIT,iShares Bitcoin Trust ETF,"$57,090,700.00 ","66,799,148"
