Year,Troy Ounces (millions),Metric Tons,Gold Price ($/oz),Market Value (Nominal),Market Value (2026 $)
1933,195.1,"6,070",$20.67 ,$4.0 billion,$94.8 billion
1935,289,"8,998",$35 ,$10.1 billion,$225.6 billion
1940,628.4,"19,546",$35 ,$22.0 billion,$479.5 billion
1941,649.6,"20,206",$35 ,$22.7 billion,$475.2 billion
1945,643.5,"20,016",$35 ,$22.5 billion,$382.9 billion
1950,633.2,"19,696",$35 ,$22.2 billion,$292.5 billion
1955,634.8,"19,745",$35 ,$22.2 billion,$279.9 billion
1960,508.9,"15,822",$35 ,$17.8 billion,$203.1 billion
1965,395.2,"12,293",$35 ,$13.8 billion,$146.6 billion
1970,316.3,"9,838",$36 ,$11.4 billion,$96.8 billion
1975,274.7,"8,544",$161 ,$44.2 billion,$243.2 billion
1980,264.3,"8,221",$615 ,$162.5 billion,$568.9 billion
1985,262.6,"8,168",$318 ,$83.5 billion,$242.2 billion
1990,261.9,"8,146",$384 ,$100.6 billion,$231.3 billion
1995,261.7,"8,140",$384 ,$100.5 billion,$201.0 billion
2000,261.6,"8,138",$279 ,$73.0 billion,$124.1 billion
2005,261.5,"8,134",$445 ,$116.4 billion,$174.6 billion
2010,261.5,"8,133","$1,225 ",$320.3 billion,$416.4 billion
2015,261.5,"8,133","$1,160 ",$303.3 billion,$364.0 billion
2020,261.5,"8,133","$1,770 ",$462.9 billion,$509.1 billion
2023,261.5,"8,133","$2,062 ",$539.2 billion,$539.2 billion
2024,261.5,"8,133","$2,640 ",$690.4 billion,$690.4 billion
2025,261.5,"8,133","$3,110 ",$813.3 billion,$813.3 billion
2026,261.5,"8,133","$5,100 ",$1.33 trillion,$1.33 trillion
