Date,Debit Balances in Customers' Securities Margin Accounts,Free Credit Balances in Customers' Cash Accounts,Free Credit Balances in Customers' Securities Margin Accounts
31-Jan-97,"103,337","68,856",
28-Feb-97,"103,886","67,058",
31-Mar-97,"104,835","69,553",
30-Apr-97,"102,842","64,825",
31-May-97,"111,097","66,879",
30-Jun-97,"118,843","72,422",
31-Jul-97,"121,090","73,714",
31-Aug-97,"124,404","71,211",
30-Sep-97,"131,962","73,087",
31-Oct-97,"134,491","80,287",
30-Nov-97,"132,741","77,259",
31-Dec-97,"131,560","88,590",
31-Jan-98,"132,912","83,362",
28-Feb-98,"141,328","81,932",
31-Mar-98,"146,536","85,580",
30-Apr-98,"146,589","85,771",
31-May-98,"150,293","80,174",
30-Jun-98,"154,357","87,891",
31-Jul-98,"160,980","92,687",
31-Aug-98,"155,879","100,093",
30-Sep-98,"144,541","103,879",
31-Oct-98,"138,399","108,179",
30-Nov-98,"148,697","108,032",
31-Dec-98,"148,674","111,507",
31-Jan-99,"162,322","107,200",
28-Feb-99,"162,909","109,523",
31-Mar-99,"166,212","109,941",
30-Apr-99,"184,329","112,290",
31-May-99,"189,950","114,271",
30-Jun-99,"187,695","116,982",
31-Jul-99,"189,503","115,017",
31-Aug-99,"187,616","117,149",
30-Sep-99,"189,741","121,207",
31-Oct-99,"194,259","123,457",
30-Nov-99,"218,304","131,786",
31-Dec-99,"241,967","146,582",
31-Jan-00,"260,409","148,567",
29-Feb-00,"284,206","153,540",
31-Mar-00,"299,933","168,002",
30-Apr-00,"268,716","156,868",
31-May-00,"256,862","153,843",
30-Jun-00,"264,471","153,050",
31-Jul-00,"263,729","163,050",
31-Aug-00,"265,166","156,775",
30-Sep-00,"270,208","160,964",
31-Oct-00,"250,965","172,738",
30-Nov-00,"237,913","186,459",
31-Dec-00,"210,385","198,179",
31-Jan-01,"208,687","187,225",
28-Feb-01,"198,887","193,266",
31-Mar-01,"174,797","198,581",
30-Apr-01,"176,096","191,145",
31-May-01,"183,041","183,493",
30-Jun-01,"179,585","187,602",
31-Jul-01,"173,680","185,100",
31-Aug-01,"169,316","191,219",
30-Sep-01,"157,931","211,281",
31-Oct-01,"152,367","187,012",
30-Nov-01,"159,440","188,441",
31-Dec-01,"160,473","197,424",
31-Jan-02,"160,906","189,841",
28-Feb-02,"154,931","186,919",
31-Mar-02,"160,089","180,578",
30-Apr-02,"159,072","175,730",
31-May-02,"157,802","173,395",
30-Jun-02,"153,972","178,744",
31-Jul-02,"143,905","183,326",
31-Aug-02,"139,146","174,995",
30-Sep-02,"136,107","180,997",
31-Oct-02,"138,647","181,069",
30-Nov-02,"139,472","176,062",
31-Dec-02,"139,451","184,715",
31-Jan-03,"141,391","179,528",
28-Feb-03,"140,516","179,925",
31-Mar-03,"144,267","176,955",
30-Apr-03,"143,237","168,756",
31-May-03,"153,725","178,946",
30-Jun-03,"168,281","190,026",
31-Jul-03,"174,427","199,973",
31-Aug-03,"167,200","188,112",
30-Sep-03,"171,194","189,826",
31-Oct-03,"175,428","191,554",
30-Nov-03,"182,587","184,899",
31-Dec-03,"181,459","199,297",
31-Jan-04,"189,429","198,628",
29-Feb-04,"190,448","200,323",
31-Mar-04,"191,451","203,953",
30-Apr-04,"198,778","217,992",
31-May-04,"193,843","219,640",
30-Jun-04,"193,993","220,781",
31-Jul-04,"187,844","220,196",
31-Aug-04,"187,828","217,945",
30-Sep-04,"193,668","220,860",
