FY,Deficit (in billions),Debt Increase (in billions),Deficit-to-GDP Ratio
1929,($1),($1),-0.70%
1930,($1),($1),-0.80%
1931,$0 ,$1 ,0.60%
1932,$3 ,$2 ,4.60%
1933,$3 ,$3 ,4.60%
1934,$4 ,$5 ,5.40%
1935,$3 ,$2 ,3.80%
1936,$4 ,$5 ,5.10%
1937,$2 ,$3 ,2.40%
1938,$0 ,$1 ,0.10%
1939,$3 ,$3 ,3.00%
1940,$3 ,$3 ,2.80%
1941,$5 ,$6 ,3.80%
1942,$21 ,$23 ,12.40%
1943,$55 ,$64 ,26.90%
1944,$48 ,$64 ,21.20%
1945,$48 ,$58 ,20.90%
1946,$16 ,$10 ,7.00%
1947,($4),($11),-1.60%
1948,($12),($6),-4.30%
1949,($1),$0 ,-0.20%
1950,$3 ,$5 ,1.00%
1951,($6),($2),-1.80%
1952,$2 ,$4 ,0.40%
1953,$6 ,$7 ,1.70%
1954,$1 ,$5 ,0.30%
1955,$3 ,$3 ,0.70%
1956,($4),($2),-0.90%
1957,($3),($2),-0.70%
1958,$3 ,$6 ,0.60%
1959,$13 ,$8 ,2.50%
1960,$0 ,$2 ,-0.10%
1961,$3 ,$3 ,0.60%
1962,$7 ,$9 ,1.20%
1963,$5 ,$8 ,0.70%
1964,$6 ,$6 ,0.90%
1965,$1 ,$6 ,0.20%
1966,$4 ,$3 ,0.50%
1967,$9 ,$6 ,1.00%
1968,$25 ,$21 ,2.70%
1969,($3),$6 ,-0.30%
1970,$3 ,$17 ,0.30%
1971,$23 ,$27 ,2.00%
1972,$23 ,$29 ,1.80%
1973,$15 ,$31 ,1.00%
1974,$6 ,$17 ,0.40%
1975,$53 ,$58 ,3.20%
1976,$74 ,$87 ,3.90%
1977,$54 ,$78 ,2.60%
1978,$59 ,$73 ,2.50%
1979,$41 ,$55 ,1.60%
1980,$74 ,$81 ,2.60%
1981,$79 ,$90 ,2.50%
1982,$128 ,$144 ,3.80%
1983,$208 ,$235 ,5.70%
1984,$185 ,$195 ,4.60%
1985,$212 ,$251 ,4.90%
1986,$221 ,$302 ,4.80%
1987,$150 ,$225 ,3.10%
1988,$155 ,$252 ,3.00%
1989,$153 ,$255 ,2.70%
1990,$221 ,$376 ,3.70%
1991,$269 ,$432 ,4.40%
1992,$290 ,$399 ,4.50%
1993,$255 ,$347 ,3.70%
1994,$203 ,$281 ,2.80%
1995,$164 ,$281 ,2.10%
1996,$107 ,$251 ,1.30%
1997,$22 ,$188 ,0.30%
1998,($69),$113 ,-0.80%
1999,($126),$130 ,-1.30%
2000,($236),$18 ,-2.30%
2001,($128),$133 ,-1.20%
2002,$158 ,$421 ,1.40%
2003,$378 ,$555 ,3.30%
2004,$413 ,$596 ,3.40%
2005,$318 ,$554 ,2.40%
2006,$248 ,$574 ,1.80%
2007,$161 ,$501 ,1.10%
2008,$459 ,"$1,017 ",3.10%
2009,"$1,413 ","$1,885 ",9.80%
2010,"$1,294 ","$1,652 ",8.60%
2011,"$1,300 ","$1,229 ",8.30%
2012,"$1,077 ","$1,276 ",6.60%
2013,$680 ,$672 ,4.00%
2014,$485 ,"$1,086 ",2.80%
2015,$442 ,$327 ,2.40%
2016,$585 ,"$1,423 ",3.10%
2017,$665 ,$671 ,3.40%
2018,$779 ,"$1,271 ",3.80%
2019,$984 ,"$1,203 ",4.60%
2020,"$3,132 ","$4,226 ",14.70%
2021,"$2,772 ","$1,484 ",11.80%
2022,"$1,376 ","$1,402 ",5.30%
2023,"$1,684 ","$2,238 ",6.20%
