Month,German3mo,US3mo,German3moReal,US3moReal
Jan-70,9.3,7.87,6.4,1.71
Feb-70,9.5,7.13,7,0.71
Mar-70,9.8,6.63,6.9,0.54
Apr-70,9.9,6.51,6.6,0.45
May-70,9.9,6.84,6.7,0.8
Jun-70,9.9,6.68,6.3,0.67
Jul-70,9.6,6.45,6,0.74
Aug-70,9.2,6.41,5.6,0.72
Sep-70,9.4,6.12,5.7,0.46
Oct-70,9.5,5.91,5.5,0.28
Nov-70,8.8,5.28,4.9,-0.32
Dec-70,8.1,4.87,4.2,-0.7
Jan-71,7.5,4.44,3.6,-0.84
Feb-71,7.5,3.7,2.5,-1.02
Mar-71,7.5,3.38,2.9,-1.06
Apr-71,6.4,3.86,1.8,-0.3
May-71,6.2,4.14,1.3,-0.26
Jun-71,6.8,4.75,1.6,0.37
Jul-71,7.7,5.4,2.1,1.03
Aug-71,7.6,4.94,2,0.58
Sep-71,7.6,4.69,1.6,0.61
Oct-71,7.8,4.46,1.9,0.65
Nov-71,6.8,4.22,1.3,0.68
Dec-71,6.6,4.01,1.1,0.74
Jan-72,5.2,3.38,-0.6,0.12
Feb-72,4.9,3.2,-0.2,-0.56
Mar-72,4.8,3.73,-0.6,0.23
Apr-72,4.8,3.71,-0.6,0.22
May-72,4.7,3.69,-0.3,0.46
Jun-72,4.7,3.91,-0.3,0.95
Jul-72,4.7,3.98,-0.3,1.02
Aug-72,4.8,4.02,-0.5,1.07
Sep-72,5.3,4.66,-0.6,1.47
Oct-72,6.9,4.74,1,1.56
Nov-72,8.1,4.78,1.5,1.37
Dec-72,8.6,5.07,2.1,1.66
Jan-73,7.9,5.41,1.8,1.77
Feb-73,8,5.6,1.2,1.74
Mar-73,8.8,6.09,2.4,1.26
Apr-73,10.6,6.26,3.9,0.96
May-73,12.4,6.36,4.8,0.83
Jun-73,13.6,7.19,6.1,1.19
Jul-73,14.3,8.01,7.1,2.27
Aug-73,14.6,8.67,7.4,1.27
Sep-73,14.3,8.29,8,0.93
Oct-73,14.5,7.22,7.7,-0.84
Nov-73,13.6,7.83,6.2,-0.42
Dec-73,13.2,7.45,5.2,-1.49
Jan-74,12.1,7.77,4.5,-1.83
Feb-74,10.7,7.12,2.8,-2.88
Mar-74,11.2,7.96,4,-2.18
Apr-74,10.1,8.33,2.6,-1.74
May-74,9.1,8.23,2.4,-2.48
Jun-74,9.5,7.9,2.4,-2.96
Jul-74,9.5,7.55,2.8,-3.99
Aug-74,9.7,8.96,2.7,-1.93
Sep-74,9.7,8.06,2.3,-3.89
Oct-74,9.8,7.46,2.8,-4.38
Nov-74,9,7.47,2.4,-4.73
Dec-74,8.6,7.15,2.9,-4.95
Jan-75,7.7,6.26,1.8,-5.49
Feb-75,6.4,5.5,0.8,-5.71
Mar-75,5.7,5.49,-0.1,-4.97
Apr-75,4.9,5.61,-1.2,-4.58
May-75,5,5.23,-1.3,-4.03
Jun-75,4.9,5.34,-1.7,-3.84
Jul-75,4.7,6.13,-1.6,-3.4
Aug-75,3.9,6.44,-1.8,-2.18
Sep-75,3.9,6.42,-2.4,-1.49
Oct-75,4.1,5.96,-1.6,-1.69
Nov-75,4.1,5.48,-1,-1.9
Dec-75,4.2,5.44,-1.2,-1.69
Jan-76,3.9,4.87,-1.4,-1.82
Feb-76,3.7,4.88,-1.6,-1.39
Mar-76,3.7,5,-1.5,-1.06
Apr-76,3.6,4.86,-1.1,-0.99
May-76,3.8,5.2,-0.6,-1.01
Jun-76,4.1,5.41,0.3,-0.57
Jul-76,4.5,5.23,0.9,-0.33
Aug-76,4.6,5.14,0.4,-0.58
Sep-76,4.6,5.08,1,-0.41
Oct-76,4.9,4.92,1.3,-0.54
Nov-76,4.7,4.75,0.9,-0.31
Dec-76,4.9,4.35,1.1,-0.69
Jan-77,4.8,4.62,1,-0.58
Feb-77,4.7,4.67,0.9,-1.41
Mar-77,4.7,4.6,1,-1.83
Apr-77,4.6,4.54,1.1,-2.41
May-77,4.4,4.96,0.7,-1.78
Jun-77,4.3,5.02,0.3,-1.68
Jul-77,4.3,5.19,0.3,-1.48
Aug-77,4.1,5.49,0.2,-1.14
Sep-77,4.2,5.81,0.2,-0.61
Oct-77,4.1,6.16,0.4,-0.23
Nov-77,4.2,6.1,0.7,-0.61
Dec-77,4,6.07,0.8,-0.61
Jan-78,3.6,6.44,0.4,-0.37
Feb-78,3.5,6.45,0.3,0.21
Mar-78,3.5,6.29,0.6,-0.09
Apr-78,3.6,6.29,0.4,-0.21
May-78,3.6,6.41,0.7,-0.73
Jun-78,3.7,6.73,1.1,-0.71
Jul-78,3.8,7.01,1.1,-0.72
Aug-78,3.7,7.08,1.3,-0.78
Sep-78,3.7,7.85,1.5,-0.63
Oct-78,4,7.99,1.6,-0.94
Nov-78,3.9,8.64,1.5,-0.23
Dec-78,4.1,9.08,1.4,0.09
Jan-79,3.9,9.35,1.1,0.1
Feb-79,4.2,9.32,1.3,-0.52
Mar-79,4.5,9.48,1.2,-0.77
Apr-79,5.5,9.46,2.5,-1.03
May-79,5.9,9.61,2.9,-1.09
Jun-79,6.5,9.06,3,-2.02
Jul-79,6.8,9.24,2.6,-2.21
Aug-79,7.1,9.52,2.7,-2.32
Sep-79,7.9,10.26,2.7,-1.62
Oct-79,8.8,11.7,3.6,-0.37
Nov-79,9.7,11.79,4.3,-0.8
Dec-79,9.6,12.04,4.3,-1.21
