Germany,VPI,3mo
Jan-60,2.3,4.4
Feb-60,1.8,4.5
Mar-60,1.8,4.7
Apr-60,2.3,4.6
May-60,2.8,4.6
Jun-60,1.4,5.3
Jul-60,1.4,5.6
Aug-60,0.9,5.4
Sep-60,0.9,5.6
Oct-60,0.9,6.1
Nov-60,0.5,5.4
Dec-60,0.5,5.1
Jan-61,1.8,4.7
Feb-61,2.3,4.1
Mar-61,2.3,3.7
Apr-61,1.8,3.3
May-61,1.8,3.2
Jun-61,2.7,3.1
Jul-61,2.7,3.2
Aug-61,2.7,3.1
Sep-61,2.7,3.1
Oct-61,2.7,4.1
Nov-61,2.7,3.7
Dec-61,3.2,3.8
Jan-62,2.7,2.9
Feb-62,2.7,2.9
Mar-62,3.1,3
Apr-62,3.5,3.1
May-62,3.1,3.1
Jun-62,3.5,3.1
Jul-62,3.5,3.3
Aug-62,2.2,3.3
Sep-62,2.7,3.2
Oct-62,2.2,4.5
Nov-62,2.2,4.3
Dec-62,2.6,4.4
Jan-63,3,3.3
Feb-63,3.9,3.3
Mar-63,3.4,3.5
Apr-63,3.4,3.6
May-63,3,3.6
Jun-63,2.6,3.8
Jul-63,2.1,4
Aug-63,2.6,3.8
Sep-63,2.6,3.8
Oct-63,3.4,5.1
Nov-63,3.4,5
Dec-63,3.4,5
Jan-64,2.5,3.3
Feb-64,2.1,3.3
Mar-64,2.1,3.5
Apr-64,1.7,3.6
May-64,2.1,3.7
Jun-64,2.5,3.8
Jul-64,2.5,3.7
Aug-64,2.9,3.9
Sep-64,2.5,4.1
Oct-64,2.1,5.4
Nov-64,2.5,5.5
Dec-64,2.5,5.4
Jan-65,2,3.9
Feb-65,1.6,4
Mar-65,2.4,4.3
Apr-65,2.4,4.5
May-65,2.8,4.7
Jun-65,3.7,4.8
Jul-65,3.6,5.1
Aug-65,3.6,5.3
Sep-65,3.7,5.4
Oct-65,4.1,6.7
Nov-65,4,6.6
Dec-65,4,6.6
Jan-66,4,5.2
Feb-66,4,5.4
Mar-66,4,5.7
Apr-66,4.4,6.2
May-66,4.3,6.4
Jun-66,3.5,6.8
Jul-66,3.1,6.9
Aug-66,3.1,7
Sep-66,3.2,6.8
Oct-66,2.7,7.9
Nov-66,3.1,7.7
Dec-66,2.7,7.6
Jan-67,2.7,5.7
Feb-67,2.3,5.6
Mar-67,2.3,5
Apr-67,1.5,4.5
May-67,1.9,3.7
Jun-67,1.9,4
Jul-67,1.9,3.5
Aug-67,1.5,3.6
Sep-67,1.5,3.4
Oct-67,1.5,4.2
Nov-67,1.1,4
Dec-67,0.8,4.1
Jan-68,1.5,3.3
Feb-68,1.5,3.5
Mar-68,1.1,3.5
Apr-68,1.1,3.6
May-68,1.1,3.7
Jun-68,1.1,3.7
Jul-68,1.1,3.6
Aug-68,1.5,3.6
Sep-68,1.5,3.5
Oct-68,1.1,4.8
Nov-68,1.9,4.5
Dec-68,2.2,4.4
Jan-69,1.5,3.9
Feb-69,1.9,3.9
Mar-69,2.2,4.2
Apr-69,2.2,4.4
May-69,2.2,4.4
Jun-69,2.2,5.5
Jul-69,2.2,5.8
Aug-69,2.2,6.5
Sep-69,2.2,6.9
Oct-69,2.2,7.4
Nov-69,1.5,7.7
Dec-69,2.2,8.8
Jan-70,2.9,9.3
Feb-70,2.5,9.5
Mar-70,2.9,9.8
Apr-70,3.3,9.9
May-70,3.2,9.9
Jun-70,3.6,9.9
Jul-70,3.6,9.6
Aug-70,3.6,9.2
Sep-70,3.6,9.4
Oct-70,4,9.5
Nov-70,4,8.8
Dec-70,3.9,8.1
Jan-71,3.9,7.5
Feb-71,5,7.5
Mar-71,4.5,7.5
Apr-71,4.6,6.4
May-71,4.9,6.2
Jun-71,5.2,6.8
Jul-71,5.6,7.7
Aug-71,5.6,7.6
Sep-71,6,7.6
Oct-71,5.9,7.8
Nov-71,5.5,6.8
Dec-71,5.5,6.6
Jan-72,5.8,5.2
Feb-72,5.1,4.9
Mar-72,5.4,4.8
Apr-72,5.4,4.8
May-72,5,4.7
Jun-72,5,4.7
Jul-72,4.9,4.7
Aug-72,5.3,4.8
Sep-72,6,5.3
Oct-72,5.9,6.9
Nov-72,6.6,8.1
Dec-72,6.5,8.6
Jan-73,6.1,7.9
Feb-73,6.8,8
Mar-73,6.3,8.8
Apr-73,6.7,10.6
May-73,7.6,12.4
Jun-73,7.5,13.6
Jul-73,7.2,14.3
Aug-73,7.2,14.6
Sep-73,6.3,14.3
Oct-73,6.8,14.5
Nov-73,7.4,13.6
Dec-73,8,13.2
Jan-74,7.6,12.1
Feb-74,7.8,10.7
Mar-74,7.2,11.2
Apr-74,7.5,10.1
May-74,6.7,9.1
Jun-74,7,9.5
Jul-74,6.7,9.5
Aug-74,7,9.7
Sep-74,7.4,9.7
Oct-74,7,9.8
Nov-74,6.6,9
Dec-74,5.7,8.6
Jan-75,5.9,7.7
Feb-75,5.6,6.4
Mar-75,5.8,5.7
Apr-75,6.1,4.9
May-75,6.3,5
Jun-75,6.6,4.9
Jul-75,6.3,4.7
Aug-75,5.7,3.9
Sep-75,6.3,3.9
Oct-75,5.7,4.1
Nov-75,5.1,4.1
Dec-75,5.4,4.2
Jan-76,5.3,3.9
Feb-76,5.3,3.7
Mar-76,5.3,3.7
Apr-76,4.7,3.6
May-76,4.4,3.8
Jun-76,3.8,4.1
Jul-76,3.6,4.5
Aug-76,4.1,4.6
Sep-76,3.6,4.6
Oct-76,3.6,4.9
Nov-76,3.8,4.7
Dec-76,3.8,4.9
Jan-77,3.8,4.8
Feb-77,3.8,4.7
Mar-77,3.8,4.7
Apr-77,3.5,4.6
May-77,3.7,4.4
Jun-77,4,4.3
Jul-77,4,4.3
Aug-77,4,4.1
Sep-77,4,4.2
Oct-77,3.7,4.1
Nov-77,3.4,4.2
Dec-77,3.2,4
Jan-78,3.2,3.6
Feb-78,3.1,3.5
Mar-78,2.9,3.5
Apr-78,3.1,3.6
May-78,2.9,3.6
Jun-78,2.6,3.7
Jul-78,2.6,3.8
Aug-78,2.4,3.7
Sep-78,2.2,3.7
Oct-78,2.4,4
Nov-78,2.4,3.9
Dec-78,2.6,4.1
Jan-79,2.8,3.9
Feb-79,2.8,4.2
Mar-79,3.3,4.5
Apr-79,3,5.5
May-79,3,5.9
Jun-79,3.5,6.5
Jul-79,4.2,6.8
Aug-79,4.4,7.1
Sep-79,5.2,7.9
Oct-79,5.1,8.8
Nov-79,5.3,9.7
Dec-79,5.3,9.6
Jan-80,4.8,8.9
Feb-80,5.9,9
Mar-80,5.9,9.6
Apr-80,5.9,10.2
May-80,6.3,10.3
Jun-80,5.6,10.1
Jul-80,5.1,9.7
Aug-80,5.3,9
Sep-80,4.9,9
Oct-80,4.9,9.1
