date,3mo,CPI
Jan-70,7.87,6.16
Feb-70,7.13,6.42
Mar-70,6.63,6.09
Apr-70,6.51,6.06
May-70,6.84,6.04
Jun-70,6.68,6.01
Jul-70,6.45,5.71
Aug-70,6.41,5.69
Sep-70,6.12,5.66
Oct-70,5.91,5.63
Nov-70,5.28,5.60
Dec-70,4.87,5.57
Jan-71,4.44,5.28
Feb-71,3.7,4.72
Mar-71,3.38,4.44
Apr-71,3.86,4.16
May-71,4.14,4.40
Jun-71,4.75,4.38
Jul-71,5.4,4.37
Aug-71,4.94,4.36
Sep-71,4.69,4.08
Oct-71,4.46,3.81
Nov-71,4.22,3.54
Dec-71,4.01,3.27
Jan-72,3.38,3.26
Feb-72,3.2,3.76
Mar-72,3.73,3.50
Apr-72,3.71,3.49
May-72,3.69,3.23
Jun-72,3.91,2.96
Jul-72,3.98,2.96
Aug-72,4.02,2.95
Sep-72,4.66,3.19
Oct-72,4.74,3.18
Nov-72,4.78,3.41
Dec-72,5.07,3.41
Jan-73,5.41,3.64
Feb-73,5.6,3.86
Mar-73,6.09,4.83
Apr-73,6.26,5.30
May-73,6.36,5.53
Jun-73,7.19,6.00
Jul-73,8.01,5.74
Aug-73,8.67,7.40
Sep-73,8.29,7.36
Oct-73,7.22,8.06
Nov-73,7.83,8.25
Dec-73,7.45,8.94
Jan-74,7.77,9.60
Feb-74,7.12,10.00
Mar-74,7.96,10.14
Apr-74,8.33,10.07
May-74,8.23,10.71
Jun-74,7.9,10.86
Jul-74,7.55,11.54
Aug-74,8.96,10.89
Sep-74,8.06,11.95
Oct-74,7.46,11.84
Nov-74,7.47,12.20
Dec-74,7.15,12.10
Jan-75,6.26,11.75
Feb-75,5.5,11.21
Mar-75,5.49,10.46
Apr-75,5.61,10.19
May-75,5.23,9.26
Jun-75,5.34,9.18
Jul-75,6.13,9.53
Aug-75,6.44,8.62
Sep-75,6.42,7.91
Oct-75,5.96,7.65
Nov-75,5.48,7.38
Dec-75,5.44,7.13
Jan-76,4.87,6.69
Feb-76,4.88,6.27
Mar-76,5,6.06
Apr-76,4.86,5.85
May-76,5.2,6.21
Jun-76,5.41,5.98
Jul-76,5.23,5.56
Aug-76,5.14,5.72
Sep-76,5.08,5.49
Oct-76,4.92,5.46
Nov-76,4.75,5.06
Dec-76,4.35,5.04
Jan-77,4.62,5.20
Feb-77,4.67,6.08
Mar-77,4.6,6.43
Apr-77,4.54,6.95
May-77,4.96,6.74
Jun-77,5.02,6.70
Jul-77,5.19,6.67
Aug-77,5.49,6.63
Sep-77,5.81,6.42
Oct-77,6.16,6.39
Nov-77,6.1,6.71
Dec-77,6.07,6.68
Jan-78,6.44,6.81
Feb-78,6.45,6.24
Mar-78,6.29,6.38
Apr-78,6.29,6.50
May-78,6.41,7.14
Jun-78,6.73,7.44
Jul-78,7.01,7.73
Aug-78,7.08,7.86
Sep-78,7.85,8.48
Oct-78,7.99,8.93
Nov-78,8.64,8.87
Dec-78,9.08,8.99
Jan-79,9.35,9.25
Feb-79,9.32,9.84
Mar-79,9.48,10.25
Apr-79,9.46,10.49
May-79,9.61,10.70
Jun-79,9.06,11.08
Jul-79,9.24,11.45
Aug-79,9.52,11.84
Sep-79,10.26,11.88
Oct-79,11.7,12.07
Nov-79,11.79,12.59
Dec-79,12.04,13.25
Jan-80,12,13.87
Feb-80,12.86,14.16
Mar-80,15.2,14.59
Apr-80,13.2,14.59
May-80,8.58,14.43
Jun-80,7.07,14.27
Jul-80,8.06,13.15
Aug-80,9.13,12.89
Sep-80,10.27,12.77
Oct-80,11.62,12.63
Nov-80,13.73,12.63
Dec-80,15.49,12.35
Jan-81,15.02,11.79
Feb-81,14.79,11.39
Mar-81,13.36,10.61
Apr-81,13.69,10.14
May-81,16.3,9.79
Jun-81,14.73,9.70
Jul-81,14.95,10.77
Aug-81,15.51,10.82
Sep-81,14.7,10.97
Oct-81,13.54,10.27
Nov-81,10.86,9.58
Dec-81,10.85,8.91
Jan-82,12.28,8.26
Feb-82,13.48,7.61
Mar-82,12.68,6.88
Apr-82,12.7,6.62
May-82,12.09,6.91
Jun-82,12.47,7.18
Jul-82,11.35,6.56
Aug-82,8.68,5.97
Sep-82,7.92,4.94
Oct-82,7.71,5.03
Nov-82,8.07,4.48
Dec-82,7.94,3.83
Jan-83,7.86,3.71
