Month,CPI,3mo,3moReal
Jan-80,13.87,12,-1.87
Feb-80,14.16,12.86,-1.30
Mar-80,14.59,15.2,0.61
Apr-80,14.59,13.2,-1.39
May-80,14.43,8.58,-5.85
Jun-80,14.27,7.07,-7.20
Jul-80,13.15,8.06,-5.09
Aug-80,12.89,9.13,-3.76
Sep-80,12.77,10.27,-2.50
Oct-80,12.63,11.62,-1.01
Nov-80,12.63,13.73,1.10
Dec-80,12.35,15.49,3.14
Jan-81,11.79,15.02,3.23
Feb-81,11.39,14.79,3.40
Mar-81,10.61,13.36,2.75
Apr-81,10.14,13.69,3.55
May-81,9.79,16.3,6.51
Jun-81,9.70,14.73,5.03
Jul-81,10.77,14.95,4.18
Aug-81,10.82,15.51,4.69
Sep-81,10.97,14.7,3.73
Oct-81,10.27,13.54,3.27
Nov-81,9.58,10.86,1.28
Dec-81,8.91,10.85,1.94
Jan-82,8.26,12.28,4.02
Feb-82,7.61,13.48,5.87
Mar-82,6.88,12.68,5.80
Apr-82,6.62,12.7,6.08
May-82,6.91,12.09,5.18
Jun-82,7.18,12.47,5.29
Jul-82,6.56,11.35,4.79
Aug-82,5.97,8.68,2.71
Sep-82,4.94,7.92,2.98
Oct-82,5.03,7.71,2.68
Nov-82,4.48,8.07,3.59
Dec-82,3.83,7.94,4.11
Jan-83,3.71,7.86,4.15
Feb-83,3.48,8.11,4.63
Mar-83,3.59,8.35,4.76
Apr-83,4.00,8.21,4.21
May-83,3.44,8.19,4.75
Jun-83,2.47,8.79,6.32
Jul-83,2.36,9.08,6.72
Aug-83,2.46,9.34,6.88
Sep-83,2.76,9,6.24
Oct-83,2.75,8.64,5.89
Nov-83,3.16,8.76,5.60
Dec-83,3.79,9,5.21
Jan-84,4.29,8.9,4.61
Feb-84,4.69,9.09,4.40
Mar-84,4.89,9.52,4.63
Apr-84,4.55,9.69,5.14
May-84,4.33,9.83,5.50
Jun-84,4.33,9.87,5.54
Jul-84,4.31,10.12,5.81
Aug-84,4.30,10.47,6.17
Sep-84,4.28,10.37,6.09
Oct-84,4.27,9.74,5.47
Nov-84,4.15,8.61,4.46
Dec-84,4.04,8.06,4.02
Jan-85,3.53,7.76,4.23
Feb-85,3.61,8.27,4.66
Mar-85,3.79,8.52,4.73
Apr-85,3.58,7.95,4.37
May-85,3.57,7.48,3.91
Jun-85,3.66,6.95,3.29
Jul-85,3.46,7.08,3.62
Aug-85,3.35,7.14,3.79
Sep-85,3.25,7.1,3.85
Oct-85,3.24,7.16,3.92
Nov-85,3.51,7.24,3.73
Dec-85,3.79,7.1,3.31
Jan-86,3.97,7.07,3.10
Feb-86,3.20,7.06,3.86
Mar-86,2.15,6.56,4.41
Apr-86,1.59,6.06,4.47
May-86,1.68,6.15,4.47
Jun-86,1.77,6.21,4.44
Jul-86,1.67,5.83,4.16
Aug-86,1.58,5.53,3.95
Sep-86,1.76,5.21,3.45
Oct-86,1.57,5.18,3.61
Nov-86,1.28,5.35,4.07
Dec-86,1.19,5.53,4.34
Jan-87,1.36,5.43,4.07
Feb-87,1.91,5.59,3.68
Mar-87,2.84,5.59,2.75
Apr-87,3.68,5.64,1.96
May-87,3.67,5.66,1.99
Jun-87,3.75,5.67,1.92
Jul-87,3.93,5.69,1.76
Aug-87,4.29,6.04,1.75
Sep-87,4.27,6.4,2.13
Oct-87,4.36,6.13,1.77
Nov-87,4.53,5.69,1.16
Dec-87,4.33,5.77,1.44
Jan-88,4.13,5.81,1.68
Feb-88,3.94,5.66,1.72
Mar-88,3.83,5.7,1.87
Apr-88,3.99,5.91,1.92
May-88,3.98,6.26,2.28
Jun-88,3.96,6.46,2.50
Jul-88,4.13,6.73,2.60
Aug-88,4.11,7.06,2.95
Sep-88,4.18,7.24,3.06
Oct-88,4.26,7.35,3.09
Nov-88,4.25,7.76,3.51
Dec-88,4.41,8.07,3.66
Jan-89,4.48,8.27,3.79
Feb-89,4.65,8.53,3.88
Mar-89,4.89,8.82,3.93
Apr-89,5.03,8.65,3.62
May-89,5.28,8.43,3.15
Jun-89,5.17,8.15,2.98
Jul-89,5.06,7.88,2.82
Aug-89,4.62,7.9,3.28
Sep-89,4.44,7.75,3.31
Oct-89,4.59,7.64,3.05
Nov-89,4.66,7.69,3.03
Dec-89,4.64,7.63,2.99
