Month,GermanVPI,USCPI
Jan-70,2.9,6.16
Feb-70,2.5,6.42
Mar-70,2.9,6.09
Apr-70,3.3,6.06
May-70,3.2,6.04
Jun-70,3.6,6.01
Jul-70,3.6,5.71
Aug-70,3.6,5.69
Sep-70,3.6,5.66
Oct-70,4,5.63
Nov-70,4,5.6
Dec-70,3.9,5.57
Jan-71,3.9,5.28
Feb-71,5,4.72
Mar-71,4.5,4.44
Apr-71,4.6,4.16
May-71,4.9,4.4
Jun-71,5.2,4.38
Jul-71,5.6,4.37
Aug-71,5.6,4.36
Sep-71,6,4.08
Oct-71,5.9,3.81
Nov-71,5.5,3.54
Dec-71,5.5,3.27
Jan-72,5.8,3.26
Feb-72,5.1,3.76
Mar-72,5.4,3.5
Apr-72,5.4,3.49
May-72,5,3.23
Jun-72,5,2.96
Jul-72,4.9,2.96
Aug-72,5.3,2.95
Sep-72,6,3.19
Oct-72,5.9,3.18
Nov-72,6.6,3.41
Dec-72,6.5,3.41
Jan-73,6.1,3.64
Feb-73,6.8,3.86
Mar-73,6.3,4.83
Apr-73,6.7,5.3
May-73,7.6,5.53
Jun-73,7.5,6
Jul-73,7.2,5.74
Aug-73,7.2,7.4
Sep-73,6.3,7.36
Oct-73,6.8,8.06
Nov-73,7.4,8.25
Dec-73,8,8.94
Jan-74,7.6,9.6
Feb-74,7.8,10
Mar-74,7.2,10.14
Apr-74,7.5,10.07
May-74,6.7,10.71
Jun-74,7,10.86
Jul-74,6.7,11.54
Aug-74,7,10.89
Sep-74,7.4,11.95
Oct-74,7,11.84
Nov-74,6.6,12.2
Dec-74,5.7,12.1
Jan-75,5.9,11.75
Feb-75,5.6,11.21
Mar-75,5.8,10.46
Apr-75,6.1,10.19
May-75,6.3,9.26
Jun-75,6.6,9.18
Jul-75,6.3,9.53
Aug-75,5.7,8.62
Sep-75,6.3,7.91
Oct-75,5.7,7.65
Nov-75,5.1,7.38
Dec-75,5.4,7.13
Jan-76,5.3,6.69
Feb-76,5.3,6.27
Mar-76,5.3,6.06
Apr-76,4.7,5.85
May-76,4.4,6.21
Jun-76,3.8,5.98
Jul-76,3.6,5.56
Aug-76,4.1,5.72
Sep-76,3.6,5.49
Oct-76,3.6,5.46
Nov-76,3.8,5.06
Dec-76,3.8,5.04
Jan-77,3.8,5.2
Feb-77,3.8,6.08
Mar-77,3.8,6.43
Apr-77,3.5,6.95
May-77,3.7,6.74
Jun-77,4,6.7
Jul-77,4,6.67
Aug-77,4,6.63
Sep-77,4,6.42
Oct-77,3.7,6.39
Nov-77,3.4,6.71
Dec-77,3.2,6.68
Jan-78,3.2,6.81
Feb-78,3.1,6.24
Mar-78,2.9,6.38
Apr-78,3.1,6.5
May-78,2.9,7.14
Jun-78,2.6,7.44
Jul-78,2.6,7.73
Aug-78,2.4,7.86
Sep-78,2.2,8.48
Oct-78,2.4,8.93
Nov-78,2.4,8.87
Dec-78,2.6,8.99
Jan-79,2.8,9.25
Feb-79,2.8,9.84
Mar-79,3.3,10.25
Apr-79,3,10.49
May-79,3,10.7
Jun-79,3.5,11.08
Jul-79,4.2,11.45
Aug-79,4.4,11.84
Sep-79,5.2,11.88
Oct-79,5.1,12.07
Nov-79,5.3,12.59
Dec-79,5.3,13.25
