observation_date,EXGEUS
1971-01-01,3.637
1971-02-01,3.6313
1971-03-01,3.6313
1971-04-01,3.6343
1971-05-01,3.5535
1971-06-01,3.5121
1971-07-01,3.481
1971-08-01,3.4159
1971-09-01,3.3567
1971-10-01,3.3262
1971-11-01,3.3329
1971-12-01,3.2688
1972-01-01,3.2306
1972-02-01,3.1858
1972-03-01,3.1746
1972-04-01,3.1778
1972-05-01,3.1793
1972-06-01,3.1686
1972-07-01,3.1612
1972-08-01,3.1865
1972-09-01,3.1931
1972-10-01,3.2068
1972-11-01,3.2036
1972-12-01,3.1988
1973-01-01,3.1962
1973-02-01,3.0055
1973-03-01,2.8132
1973-04-01,2.8368
1973-05-01,2.7909
1973-06-01,2.5796
1973-07-01,2.336
1973-08-01,2.427
1973-09-01,2.4246
1973-10-01,2.4139
1973-11-01,2.5811
1973-12-01,2.6577
1974-01-01,2.8151
1974-02-01,2.7146
1974-03-01,2.6182
1974-04-01,2.5262
1974-05-01,2.4616
1974-06-01,2.5253
1974-07-01,2.5528
1974-08-01,2.6184
1974-09-01,2.661
1974-10-01,2.5928
1974-11-01,2.511
1974-12-01,2.4503
1975-01-01,2.3649
1975-02-01,2.3271
1975-03-01,2.3193
1975-04-01,2.3758
1975-05-01,2.3505
1975-06-01,2.3405
1975-07-01,2.4727
1975-08-01,2.5736
1975-09-01,2.6189
1975-10-01,2.5817
1975-11-01,2.5896
1975-12-01,2.6217
1976-01-01,2.6025
1976-02-01,2.5619
1976-03-01,2.56
1976-04-01,2.538
1976-05-01,2.5619
1976-06-01,2.5775
1976-07-01,2.5745
1976-08-01,2.5293
1976-09-01,2.4898
1976-10-01,2.4294
1976-11-01,2.413
1976-12-01,2.3831
1977-01-01,2.3931
1977-02-01,2.405
1977-03-01,2.3916
1977-04-01,2.3743
1977-05-01,2.3588
1977-06-01,2.3556
1977-07-01,2.282
1977-08-01,2.3166
1977-09-01,2.3238
1977-10-01,2.2778
1977-11-01,2.2406
1977-12-01,2.151
1978-01-01,2.118
1978-02-01,2.0777
1978-03-01,2.0334
1978-04-01,2.0427
1978-05-01,2.1056
1978-06-01,2.084
1978-07-01,2.0557
1978-08-01,1.997
1978-09-01,1.9696
1978-10-01,1.8391
1978-11-01,1.9048
1978-12-01,1.8798
1979-01-01,1.85
1979-02-01,1.8567
1979-03-01,1.8603
1979-04-01,1.8959
1979-05-01,1.9077
1979-06-01,1.8843
1979-07-01,1.8243
1979-08-01,1.8293
1979-09-01,1.7939
1979-10-01,1.7897
1979-11-01,1.7711
1979-12-01,1.7341
1980-01-01,1.7246
1980-02-01,1.7482
1980-03-01,1.8519
1980-04-01,1.8776
1980-05-01,1.7913
1980-06-01,1.7673
1980-07-01,1.747
1980-08-01,1.79
1980-09-01,1.7896
1980-10-01,1.8429
1980-11-01,1.9191
1980-12-01,1.97
