Japan 1980s Macro Valuation Table,,,,,,,,,
Year,Nikkei,Earnings,P/E,EY,CPI Inflation,Real EY,10Y JGB,EYP,Real 10Y
1980,"7,116",309.4,23.0,4.3%,7.8%,-3.5%,8.0%,-3.7%,0.2%
1981,"7,681",384.1,20.0,5.0%,4.9%,0.1%,7.5%,-2.5%,2.6%
1982,"8,016",381.7,21.0,4.8%,2.7%,2.1%,7.0%,-2.2%,4.3%
1983,"9,893",412.2,24.0,4.2%,1.9%,2.3%,6.7%,-2.5%,4.8%
1984,"11,542",443.9,26.0,3.8%,2.3%,1.5%,6.6%,-2.8%,4.3%
1985,"13,113",452.2,29.0,3.4%,2.0%,1.4%,6.5%,-3.1%,4.5%
1986,"18,701",492.1,38.0,2.6%,0.6%,2.0%,5.3%,-2.7%,4.7%
1987,"21,564",479.2,45.0,2.2%,0.1%,2.1%,4.7%,-2.5%,4.6%
1988,"30,159",548.3,55.0,1.8%,0.7%,1.1%,4.3%,-2.5%,3.6%
1989,"38,916",598.7,65.0,1.5%,2.3%,-0.8%,5.6%,-4.1%,3.3%
,,,,,,,,,
5YR Rolling,Nikkei,5yr EPS,P/E 5yr,EY,CPI,Real EY,10Y JGB,EYP,Real 10Y
1984,"11,542",386.3,29.9,3.3%,2.3%,1.0%,6.6%,-3.3%,4.3%
1985,"13,113",414.8,31.6,3.2%,2.0%,1.2%,6.5%,-3.3%,4.5%
1986,"18,701",436.4,42.8,2.3%,0.6%,1.7%,5.3%,-3.0%,4.7%
1987,"21,564",455.9,47.3,2.1%,0.1%,2.0%,4.7%,-2.6%,4.6%
1988,"30,159",483.2,62.4,1.6%,0.7%,0.9%,4.3%,-2.7%,3.6%
1989,"38,916",514.1,75.7,1.3%,2.3%,-1.0%,5.6%,-4.3%,3.3%
,,,,,,,,,
