Year,S&P 500,US Small cap,3-month T.Bill,US T. Bond (10-year),ÊBaa Corporate Bond,Real Estate,Gold
1928,43.81%,62.15%,3.08%,0.84%,3.22%,1.49%,0.10%
1929,-8.30%,-46.08%,3.16%,4.20%,3.02%,-2.06%,-0.15%
1930,-25.12%,-48.35%,4.55%,4.54%,0.54%,-4.30%,0.10%
1931,-43.84%,-43.62%,2.31%,-2.56%,-15.68%,-8.15%,-17.38%
1932,-8.64%,28.65%,1.07%,8.79%,23.59%,-10.47%,21.28%
1933,49.98%,146.60%,0.96%,1.86%,12.97%,-3.81%,27.26%
1934,-1.19%,23.07%,0.28%,7.96%,18.82%,2.91%,31.75%
1935,46.74%,54.90%,0.17%,4.47%,13.31%,9.77%,0.43%
1936,31.94%,96.41%,0.17%,5.02%,11.38%,3.22%,0.09%
1937,-35.34%,-53.94%,0.28%,1.38%,-4.42%,2.56%,-0.23%
1938,29.28%,5.16%,0.07%,4.21%,9.24%,-0.87%,0.17%
1939,-1.10%,-4.86%,0.05%,4.41%,7.98%,-1.30%,-1.23%
1940,-10.67%,-32.88%,0.04%,5.40%,8.65%,3.31%,-1.66%
1941,-12.77%,-6.75%,0.13%,-2.02%,5.01%,-8.38%,0.00%
1942,19.17%,63.01%,0.34%,2.29%,5.18%,3.33%,0.00%
1943,25.06%,143.02%,0.38%,2.49%,8.04%,11.45%,0.00%
1944,19.03%,71.15%,0.38%,2.58%,6.57%,16.58%,0.00%
1945,35.82%,94.41%,0.38%,3.80%,6.80%,11.78%,2.54%
1946,-8.43%,-13.73%,0.38%,3.13%,2.51%,24.10%,0.00%
1947,5.20%,-1.74%,0.60%,0.92%,0.26%,21.26%,0.00%
1948,5.70%,-0.01%,1.05%,1.95%,3.44%,2.06%,0.00%
1949,18.30%,27.60%,1.12%,4.66%,5.38%,0.09%,-8.70%
1950,30.81%,52.81%,1.20%,0.43%,4.24%,3.64%,9.56%
1951,23.68%,3.87%,1.52%,-0.30%,-0.19%,6.05%,0.00%
1952,18.15%,1.02%,1.72%,2.27%,4.44%,4.41%,-0.35%
1953,-1.21%,-5.97%,1.89%,4.14%,1.62%,11.52%,0.69%
1954,52.56%,64.97%,0.94%,3.29%,6.16%,0.92%,0.57%
1955,32.60%,26.72%,1.72%,-1.34%,2.04%,0.00%,-0.03%
1956,7.44%,-0.89%,2.62%,-2.26%,-2.35%,0.91%,-0.11%
1957,-10.46%,-15.19%,3.22%,6.80%,-0.72%,2.72%,-0.11%
1958,43.72%,68.80%,1.77%,-2.10%,6.43%,0.66%,0.43%
1959,12.06%,12.70%,3.39%,-2.65%,1.57%,0.11%,0.00%
1960,0.34%,-3.57%,2.87%,11.64%,6.66%,0.77%,0.48%
1961,26.64%,29.45%,2.35%,2.06%,5.10%,0.98%,-0.06%
1962,-8.81%,-9.78%,2.77%,5.69%,6.50%,0.32%,-0.06%
1963,22.61%,19.65%,3.16%,1.68%,5.46%,2.14%,-0.40%
1964,16.42%,23.25%,3.55%,3.73%,5.16%,1.26%,0.03%
1965,12.40%,45.24%,3.95%,0.72%,3.19%,1.66%,0.06%
1966,-9.97%,-9.47%,4.86%,2.91%,-3.45%,1.22%,0.03%
1967,23.80%,115.87%,4.29%,-1.58%,0.90%,2.32%,-0.51%
1968,10.81%,60.69%,5.34%,3.27%,4.85%,4.13%,12.47%
1969,-8.24%,-32.95%,6.67%,-5.01%,-2.03%,6.99%,5.01%
1970,3.56%,-18.78%,6.39%,16.75%,5.65%,8.22%,-9.45%
1971,14.22%,15.96%,4.33%,9.79%,14.00%,4.24%,16.69%
1972,18.76%,0.16%,4.06%,2.82%,11.41%,2.98%,48.78%
1973,-14.31%,-38.80%,7.04%,3.66%,4.32%,3.42%,72.96%
1974,-25.90%,-26.90%,7.85%,1.99%,-4.38%,10.07%,66.15%
1975,37.00%,59.68%,5.79%,3.61%,11.05%,6.77%,-24.80%
1976,23.83%,48.62%,4.98%,15.98%,19.75%,8.18%,-4.10%
1977,-6.98%,30.29%,5.26%,1.29%,9.95%,14.65%,22.64%
1978,6.51%,28.89%,7.18%,-0.78%,3.14%,15.72%,37.01%
1979,18.52%,41.69%,10.05%,0.67%,-2.01%,13.74%,126.55%
1980,31.74%,41.92%,11.39%,-2.99%,-3.32%,7.40%,15.19%
1981,-4.70%,-4.29%,14.04%,8.20%,8.46%,5.10%,-32.60%
1982,20.42%,26.85%,11.09%,32.81%,29.05%,0.56%,15.62%
1983,22.34%,34.86%,8.95%,3.20%,16.19%,4.75%,-16.80%
1984,6.15%,-14.50%,9.92%,13.73%,15.62%,4.68%,-19.38%
1985,31.24%,24.51%,7.72%,25.71%,23.86%,7.47%,6.00%
1986,18.49%,2.09%,6.15%,24.28%,22.15%,9.61%,18.96%
1987,5.81%,-14.00%,5.96%,-4.96%,1.12%,7.85%,24.53%
1988,16.54%,17.15%,6.89%,8.22%,15.68%,7.22%,-15.26%
1989,31.48%,6.96%,8.39%,17.69%,16.31%,4.39%,-2.84%
1990,-3.06%,-27.77%,7.75%,6.24%,5.65%,-0.69%,-3.11%
1991,30.23%,46.07%,5.54%,15.00%,16.40%,-0.17%,-8.56%
1992,7.49%,25.34%,3.51%,9.36%,13.68%,0.82%,-5.73%
1993,9.97%,25.56%,3.07%,14.21%,16.44%,2.16%,17.68%
1994,1.33%,-4.76%,4.37%,-8.04%,-1.23%,2.52%,-2.17%
1995,37.20%,32.12%,5.66%,23.48%,20.09%,1.79%,0.98%
1996,22.68%,14.79%,5.15%,1.43%,5.28%,2.43%,-4.59%
1997,33.10%,22.06%,5.20%,9.94%,11.30%,4.02%,-21.41%
1998,28.34%,-13.47%,4.91%,14.92%,8.10%,6.44%,-0.83%
1999,20.89%,37.71%,4.78%,-8.25%,0.97%,7.68%,0.85%
2000,-9.03%,-9.13%,6.00%,16.66%,9.38%,9.29%,-5.44%
2001,-11.85%,32.14%,3.48%,5.57%,8.60%,6.68%,0.75%
2002,-21.97%,-3.61%,1.64%,15.12%,12.06%,9.56%,25.57%
2003,28.36%,91.23%,1.03%,0.38%,12.38%,9.81%,19.89%
2004,10.74%,17.30%,1.40%,4.49%,10.33%,13.64%,4.65%
2005,4.83%,3.78%,3.22%,2.87%,5.13%,13.51%,17.77%
2006,15.61%,18.40%,4.85%,1.96%,5.27%,1.73%,23.20%
2007,5.48%,-9.11%,4.48%,10.21%,4.90%,-5.40%,31.92%
2008,-36.55%,-44.68%,1.40%,20.10%,-3.44%,-12.00%,4.32%
2009,25.94%,46.94%,0.15%,-11.12%,19.96%,-3.85%,25.04%
2010,14.82%,27.73%,0.14%,8.46%,9.40%,-4.12%,29.24%
2011,2.10%,-14.04%,0.05%,16.04%,12.26%,-3.89%,12.02%
2012,15.89%,18.96%,0.09%,2.97%,9.40%,6.44%,5.68%
2013,32.15%,50.30%,0.06%,-9.10%,-1.13%,10.72%,-27.61%
2014,13.52%,1.53%,0.03%,10.75%,10.75%,4.50%,0.12%
2015,1.38%,-9.12%,0.05%,1.28%,-1.50%,5.19%,-12.11%
2016,11.77%,17.02%,0.32%,0.69%,11.52%,5.31%,8.10%
2017,21.61%,15.13%,0.95%,2.80%,9.15%,6.21%,12.66%
2018,-4.23%,-16.21%,1.97%,-0.02%,-3.18%,4.52%,-0.93%
2019,31.21%,11.92%,2.11%,9.64%,15.25%,3.69%,19.08%
2020,18.02%,34.16%,0.36%,11.33%,10.60%,10.43%,24.17%
2021,28.47%,22.41%,0.04%,-4.42%,1.02%,18.86%,-3.75%
2022,-18.04%,-22.90%,2.09%,-17.83%,-15.23%,5.65%,0.55%
2023,26.06%,5.19%,5.28%,3.88%,8.74%,5.68%,13.26%
2024,24.88%,8.70%,5.18%,-1.64%,1.74%,3.96%,25.96%
2025,17.78%,16.53%,4.21%,7.80%,6.96%,1.58%,66.22%
