Date,Currency,M1,M2,M3,DAX,DAX/Currency,DAX/M1,DAX/M2,DAX/M3
1/31/80,102253,444330,1070496,1097404,,,,,
2/29/80,103633,447116,1078232,1105520,,,,,
3/31/80,104128,451370,1088333,1117228,,,,,
4/30/80,104445,453226,1093263,1122639,,,,,
5/31/80,104711,455917,1100958,1130672,,,,,
6/30/80,105611,458753,1109205,1139157,,,,,
7/31/80,105670,464938,1120452,1150687,,,,,
8/31/80,106305,465216,1127098,1157482,,,,,
9/30/80,107165,466718,1133419,1164470,,,,,
10/31/80,107735,473228,1145159,1176441,,,,,
11/30/80,108567,476657,1160031,1192713,,,,,
12/31/80,109220,473379,1165452,1198927,,,,,
1/31/81,109369,476622,1175008,1209209,,,,,
2/28/81,110071,480316,1186668,1222048,,,,,
3/31/81,109225,481349,1194414,1233640,,,,,
4/30/81,110951,482746,1204188,1244293,,,,,
5/31/81,111486,486588,1215847,1257592,,,,,
6/30/81,112262,487093,1223076,1266536,,,,,
7/31/81,113367,488660,1230470,1275262,,,,,
8/31/81,112936,489042,1234000,1280121,,,,,
9/30/81,113331,493362,1246150,1293408,,,,,
10/31/81,113745,494975,1253958,1302173,,,,,
11/30/81,114208,497550,1264026,1313067,,,,,
12/31/81,115080,499258,1273805,1324037,,,,,
1/31/82,115312,504513,1287848,1338805,,,,,
2/28/82,115852,507652,1299092,1350759,,,,,
3/31/82,116326,512323,1313351,1366026,,,,,
4/30/82,117298,517834,1326733,1376835,,,,,
5/31/82,118955,519493,1334764,1385084,,,,,
6/30/82,119137,525037,1347524,1403542,,,,,
7/31/82,120662,527685,1358609,1414886,,,,,
8/31/82,120691,534112,1372472,1429591,,,,,
9/30/82,121217,537908,1382740,1440564,,,,,
10/31/82,122185,540880,1389853,1448567,,,,,
11/30/82,123286,548081,1401761,1461236,,,,,
12/31/82,122932,551435,1414556,1478452,,,,,
1/31/83,125359,556058,1425088,1488249,,,,,
2/28/83,126374,561066,1435898,1498226,,,,,
3/31/83,128012,564440,1443423,1505297,,,,,
4/30/83,128537,569885,1453878,1516179,,,,,
5/31/83,129566,574912,1464343,1527129,,,,,
6/30/83,130173,581509,1474969,1538465,,,,,
7/31/83,131516,586440,1486582,1550957,,,,,
8/31/83,132114,589345,1498206,1563091,,,,,
9/30/83,133154,590795,1503408,1569280,,,,,
10/31/83,133591,593003,1513481,1581495,,,,,
11/30/83,134028,597800,1526253,1595252,,,,,
12/31/83,134415,603201,1537092,1607971,,,,,
1/31/84,135572,605312,1543563,1616845,,,,,
2/29/84,136049,607750,1549774,1623473,,,,,
3/31/84,135889,610604,1559014,1633342,,,,,
4/30/84,136811,613037,1568820,1643658,,,,,
5/31/84,137414,618405,1583749,1659252,,,,,
6/30/84,138784,620180,1591965,1668177,,,,,
7/31/84,138670,623188,1603857,1681799,,,,,
8/31/84,139455,630220,1617813,1697027,,,,,
9/30/84,139809,633449,1631220,1711302,,,,,
10/31/84,141024,636282,1638411,1717983,,,,,
11/30/84,141442,641335,1649653,1729206,,,,,
12/31/84,141626,649438,1661882,1742791,,,,,
1/31/85,142409,655896,1676415,1758943,,,,,
2/28/85,142924,660173,1691806,1776558,,,,,
3/31/85,143802,662471,1700138,1788333,,,,,
4/30/85,144144,662313,1709983,1797511,,,,,
5/31/85,144745,664412,1715317,1804082,,,,,
6/30/85,145640,667103,1722006,1812216,,,,,
7/31/85,146070,673104,1731220,1823517,,,,,
8/31/85,147215,676373,1738364,1831278,,,,,
9/30/85,147622,681849,1746936,1840516,,,,,
10/31/85,148249,688046,1755357,1849577,,,,,
11/30/85,149113,691122,1760581,1856300,,,,,
12/31/85,149586,698795,1784034,1882118,,,,,
1/31/86,150242,702125,1792537,1891332,,,,,
2/28/86,151291,709952,1800828,1899853,,,,,
3/31/86,152373,724787,1818276,1919041,,,,,
4/30/86,153509,722982,1815354,1917327,,,,,
5/31/86,153973,730348,1824547,1927726,,,,,
6/30/86,154604,729246,1832456,1936535,,,,,
7/31/86,155392,737933,1847233,1950177,,,,,
8/31/86,156581,743114,1858580,1961502,,,,,
9/30/86,157194,748489,1872837,1976548,,,,,
10/31/86,157438,756418,1889296,1995452,,,,,
11/30/86,158416,758059,1896941,2004194,,,,,
12/31/86,159773,760344,1903734,2011545,,,,,
1/31/87,160186,767204,1918425,2026350,,,,,
2/28/87,161295,770640,1927091,2038106,,,,,
3/31/87,161391,777454,1940390,2053663,,,,,
4/30/87,164211,785292,1952955,2069485,,,,,
5/31/87,164813,788094,1962800,2084022,,,,,
6/30/87,166101,796118,1975973,2095216,,,,,
7/31/87,167801,800728,1985755,2109659,,,,,
8/31/87,168323,803222,1992865,2123852,,,,,
9/30/87,169670,809350,2002177,2137689,,,,,
10/31/87,170936,815589,2016290,2155101,,,,,
11/30/87,171911,816949,2024128,2168100,,,,,
12/31/87,172750,815428,2027444,2173838,1005,"5,819","1,233",496,462
1/31/88,173957,824174,2037581,2186450,936,"5,381","1,136",459,428
2/29/88,174937,827054,2046281,2197901,1083,"6,193","1,310",529,493
3/31/88,177212,832408,2057427,2210937,1062,"5,995","1,276",516,480
4/30/88,177252,843094,2076081,2234863,1049,"5,919","1,244",505,469
5/31/88,179806,848492,2090533,2252687,1076,"5,982","1,268",515,478
6/30/88,181010,854395,2100900,2262415,1134,"6,264","1,327",540,501
7/31/88,182512,863859,2116901,2280986,1179,"6,457","1,364",557,517
8/31/88,183714,868224,2131825,2300792,1169,"6,366","1,347",549,508
9/30/88,185014,869720,2139817,2315101,1254,"6,776","1,441",586,542
10/31/88,186569,877198,2154925,2334535,1308,"7,012","1,491",607,560
11/30/88,187463,881397,2167024,2349769,1274,"6,795","1,445",588,542
12/31/88,189804,882693,2173774,2358041,1330,"7,008","1,507",612,564
1/31/89,191064,888361,2185797,2374823,1324,"6,931","1,491",606,558
