Date,M2,M3,M1,NIKKEI,NIKKEI/M2,NIKKEI/M3,NIKKEI/M1
1/1/1955,3565,,,356,100,,
2/1/1955,3595,,,372,103,,
3/1/1955,3614,,,363,100,,
4/1/1955,3664,,,352,96,,
5/1/1955,3705,,,346,93,,
6/1/1955,3748,,,353,94,,
7/1/1955,3805,,,352,93,,
8/1/1955,3883,,,366,94,,
9/1/1955,3902,,,387,99,,
10/1/1955,3973,,,388,98,,
11/1/1955,4027,,,410,102,,
12/1/1955,4098,,,398,97,,
1/1/1956,4141,,,426,103,,
2/1/1956,4213,,,426,101,,
3/1/1956,4275,,,442,103,,
4/1/1956,4329,,,455,105,,
5/1/1956,4409,,,476,108,,
6/1/1956,4513,,,491,109,,
7/1/1956,4581,,,503,110,,
8/1/1956,4663,,,501,108,,
9/1/1956,4763,,,494,104,,
10/1/1956,4819,,,493,102,,
11/1/1956,4912,,,514,105,,
12/1/1956,5005,,,557,111,,
1/1/1957,5099,,,549,108,,
2/1/1957,5156,,,569,110,,
3/1/1957,5239,,,570,109,,
4/1/1957,5316,,,591,111,,
5/1/1957,5386,,,590,110,,
6/1/1957,5426,,,520,96,,
7/1/1957,5479,,,516,94,,
8/1/1957,5531,,,489,88,,
9/1/1957,5561,,,529,95,,
10/1/1957,5650,,,534,95,,
11/1/1957,5704,,,515,90,,
12/1/1957,5758,,,490,85,,
1/1/1958,5831,,,472,81,,
2/1/1958,5898,,,523,89,,
3/1/1958,5962,,,528,89,,
4/1/1958,6068,,,530,87,,
5/1/1958,6116,,,561,92,,
6/1/1958,6221,,,560,90,,
7/1/1958,6341,,,587,92,,
8/1/1958,6442,,,574,89,,
9/1/1958,6550,,,588,90,,
10/1/1958,6653,,,589,88,,
11/1/1958,6788,,,608,90,,
12/1/1958,6855,,,630,92,,
1/1/1959,6878,,,664,97,,
2/1/1959,7054,,,690,98,,
3/1/1959,7203,,,716,99,,
4/1/1959,7285,,,764,105,,
5/1/1959,7413,,,750,101,,
6/1/1959,7516,,,802,107,,
7/1/1959,7627,,,811,106,,
8/1/1959,7644,,,855,112,,
9/1/1959,7866,,,891,113,,
10/1/1959,7994,,,902,113,,
11/1/1959,8120,,,955,118,,
12/1/1959,8246,,,974,118,,
1/1/1960,8377,,,875,104,,
2/1/1960,8488,,,963,113,,
3/1/1960,8627,,,1025,119,,
4/1/1960,8733,,,1062,122,,
5/1/1960,8886,,,1092,123,,
6/1/1960,9016,,,972,108,,
7/1/1960,9154,,,1092,119,,
8/1/1960,9322,,,1097,118,,
9/1/1960,9488,,,1178,124,,
10/1/1960,9652,,,1226,127,,
11/1/1960,9828,,,1262,128,,
12/1/1960,9979,,,1310,131,,
1/1/1961,10172,,,1357,133,,
2/1/1961,10401,,,1515,146,,
3/1/1961,10585,,,1537,145,,
4/1/1961,10787,,,1587,147,,
5/1/1961,10940,,,1647,151,,
6/1/1961,11137,,,1649,148,,
7/1/1961,11269,,,1737,154,,
8/1/1961,11417,,,1753,154,,
9/1/1961,11546,,,1615,140,,
10/1/1961,11686,,,1525,130,,
11/1/1961,11839,,,1360,115,,
12/1/1961,11918,,,1334,112,,
1/1/1962,12149,,,1433,118,,
2/1/1962,12283,,,1518,124,,
3/1/1962,12366,,,1480,120,,
4/1/1962,12629,,,1436,114,,
5/1/1962,12851,,,1369,107,,
6/1/1962,12983,,,1385,107,,
7/1/1962,13210,,,1442,109,,
8/1/1962,13428,,,1412,105,,
9/1/1962,13647,,,1417,104,,
10/1/1962,13921,,,1262,91,,
11/1/1962,14188,,,1286,91,,
12/1/1962,14453,,,1442,100,,
1/1/1963,14721,,,1420,96,,
2/1/1963,15000,,,1465,98,,
3/1/1963,15299,,,1508,99,,
4/1/1963,15577,,,1624,104,,
5/1/1963,15889,,,1593,100,,
6/1/1963,16201,,,1555,96,,
7/1/1963,16510,,,1597,97,,
8/1/1963,16722,,,1371,82,,
9/1/1963,17118,,,1351,79,,
10/1/1963,17373,,,1317,76,,
11/1/1963,17613,,,1335,76,,
12/1/1963,17930,,,1280,71,,
1/1/1964,18143,,,1234,68,,
2/1/1964,18318,,,1327,72,,
3/1/1964,18626,,,1261,68,,
4/1/1964,18848,,,1234,65,,
5/1/1964,19066,,,1238,65,,
6/1/1964,19285,,,1319,68,,
7/1/1964,19519,,,1353,69,,
8/1/1964,19735,,,1309,66,,
9/1/1964,19983,,,1294,65,,
10/1/1964,20201,,,1224,61,,
11/1/1964,20443,,,1209,59,,
12/1/1964,20678,,,1209,58,,
1/1/1965,20965,,,1217,58,,
2/1/1965,21269,,,1243,58,,
3/1/1965,21552,,,1206,56,,
4/1/1965,21819,,,1128,52,,
5/1/1965,22120,,,1177,53,,
6/1/1965,22429,,,1093,49,,
7/1/1965,22644,,,1065,47,,
8/1/1965,23026,,,1097,48,,
9/1/1965,23378,,,1250,53,,
10/1/1965,23681,,,1210,51,,
11/1/1965,24032,,,1268,53,,
12/1/1965,24407,,,1378,56,,
1/1/1966,24727,,,1418,57,,
2/1/1966,25019,,,1485,59,,
3/1/1966,25573,,,1521,59,,
4/1/1966,25688,,,1589,62,,
5/1/1966,26067,,,1554,60,,
6/1/1966,26382,,,1491,57,,
7/1/1966,26696,,,1509,57,,
8/1/1966,27102,,,1496,55,,
9/1/1966,27495,,,1473,54,,
10/1/1966,27726,,,1465,53,,
11/1/1966,28046,,,1432,51,,
12/1/1966,28371,,,1392,49,,
1/1/1967,27844,,,1452,52,,
2/1/1967,28212,,,1464,52,,
3/1/1967,28730,,,1506,52,,
4/1/1967,28953,,,1456,50,,
5/1/1967,28975,,,1441,50,,
6/1/1967,29430,,,1503,51,,
7/1/1967,29844,,,1494,50,,
8/1/1967,30219,,,1462,48,,
9/1/1967,30782,,,1353,44,,
10/1/1967,31204,,,1324,42,,
11/1/1967,31491,,,1378,44,,
12/1/1967,31854,,,1285,40,,
1/1/1968,32222,,,1283,40,,
2/1/1968,32669,,,1312,40,,
3/1/1968,33134,,,1355,41,,
4/1/1968,33407,,,1367,41,,
5/1/1968,33790,,,1465,43,,
6/1/1968,34249,,,1462,43,,
7/1/1968,34604,,,1549,45,,
8/1/1968,34927,,,1602,46,,
9/1/1968,35372,,,1692,48,,
10/1/1968,35772,,,1835,51,,
11/1/1968,36323,,,1742,48,,
12/1/1968,36834,,,1717,47,,
1/1/1969,37344,,,1699,45,,
2/1/1969,37806,,,1830,48,,
3/1/1969,38361,,,1759,46,,
4/1/1969,38922,,,1827,47,,
5/1/1969,39410,,,1912,49,,
6/1/1969,40000,,,1991,50,,
7/1/1969,40574,,,1970,49,,
8/1/1969,41197,,,1879,46,,
9/1/1969,41788,,,1952,47,,
10/1/1969,42395,,,2037,48,,
11/1/1969,43053,,,2130,49,,
12/1/1969,43736,,,2251,51,,
1/1/1970,44405,,,2348,53,,
2/1/1970,45018,,,2296,51,,
3/1/1970,45580,,,2380,52,,
4/1/1970,46211,,,2521,55,,
5/1/1970,46901,,,2126,45,,
6/1/1970,47434,,,2082,44,,
7/1/1970,48052,,,2149,45,,
8/1/1970,48656,,,2159,44,,
9/1/1970,49208,,,2131,43,,
10/1/1970,49955,,,2062,41,,
11/1/1970,50532,,,2114,42,,
12/1/1970,51229,,,2027,40,,
1/1/1971,52012,,,1987,38,,
2/1/1971,52903,,,2105,40,,
3/1/1971,53685,,,2256,42,,
4/1/1971,54631,,,2414,44,,
5/1/1971,55697,,,2468,44,,
6/1/1971,56651,,,2456,43,,
7/1/1971,57969,,,2651,46,,
8/1/1971,59158,,,2662,45,,
9/1/1971,60272,,,2348,39,,
10/1/1971,61368,,,2429,40,,
11/1/1971,62073,,,2279,37,,
12/1/1971,63992,,,2456,38,,
1/1/1972,65168,,,2714,42,,
2/1/1972,66297,,,2852,43,,
3/1/1972,67654,,,3011,45,,
4/1/1972,68910,,,3188,46,,
