Date,M1,M2,M3,M4,FTSE,FTSE/M1,FTSE/M2,FTSE/M3,FTSE/M4
30-Jun-82,,,,145347,,,,,
31-Jul-82,,,,146889,,,,,
31-Aug-82,,,,148227,,,,,
30-Sep-82,,,,149717,,,,,
31-Oct-82,,,,150528,,,,,
30-Nov-82,,,,151956,,,,,
31-Dec-82,,,,153846,,,,,
31-Jan-83,,,,156193,,,,,
28-Feb-83,,,,160421,,,,,
31-Mar-83,,,,161324,,,,,
30-Apr-83,,,,162952,,,,,
31-May-83,,,,164177,,,,,
30-Jun-83,,,,165963,,,,,
31-Jul-83,,,,167454,,,,,
31-Aug-83,,,,168332,,,,,
30-Sep-83,,,,169463,,,,,
31-Oct-83,,,,171033,,,,,
30-Nov-83,,,,172783,,,,,
31-Dec-83,,,,174353,,,,,
31-Jan-84,,,,177093,1063,,,,6002
29-Feb-84,,,,180209,1040,,,,5771
31-Mar-84,,,,179981,1113,,,,6184
30-Apr-84,,,,182589,1138,,,,6233
31-May-84,,,,185104,1021,,,,5516
30-Jun-84,,,,186695,1041,,,,5576
31-Jul-84,,,,188533,1010,,,,5357
31-Aug-84,,,,189247,1104,,,,5834
30-Sep-84,,,,191693,1140,,,,5947
31-Oct-84,,,,193686,1151,,,,5943
30-Nov-84,,,,197225,1181,,,,5988
31-Dec-84,,,,198071,1232,,,,6220
31-Jan-85,,,,202125,1281,,,,6338
28-Feb-85,,,,202903,1260,,,,6210
31-Mar-85,,,,205101,1277,,,,6226
30-Apr-85,,,,206951,1291,,,,6238
31-May-85,,,,208705,1313,,,,6291
30-Jun-85,,,,211046,1235,,,,5852
31-Jul-85,,,,213329,1262,,,,5916
31-Aug-85,,,,215796,1341,,,,6214
30-Sep-85,,,,217678,1290,,,,5926
31-Oct-85,,,,219844,1377,,,,6264
30-Nov-85,,,,221905,1439,,,,6485
31-Dec-85,,,,224127,1413,,,,6304
31-Jan-86,,,,228486,1435,,,,6280
28-Feb-86,,,,232154,1544,,,,6651
31-Mar-86,,,,235364,1669,,,,7091
30-Apr-86,,,,238002,1661,,,,6979
31-May-86,,,,241961,1603,,,,6625
30-Jun-86,,,,244476,1650,,,,6749
31-Jul-86,,,,246534,1558,,,,6320
31-Aug-86,,,,247504,1661,,,,6711
30-Sep-86,83561,83799,,249510,1556,18621,18568,,6236
31-Oct-86,87256,164642,,252007,1632,18704,9912,,6476
30-Nov-86,89619,167201,,255219,1637,18266,9791,,6414
31-Dec-86,87847,167378,,257851,1679,19113,10031,,6512
31-Jan-87,93643,254200,260892,261592,1808,19307,7113,6930,6912
28-Feb-87,94206,255741,262792,267361,1979,21007,7738,7531,7402
31-Mar-87,99565,262952,270049,271124,1998,20067,7598,7399,7369
30-Apr-87,99663,266229,273479,275495,2051,20579,7704,7500,7445
31-May-87,103948,270618,278129,278465,2203,21193,8141,7921,7911
30-Jun-87,105815,273038,280644,281364,2284,21585,8365,8138,8118
31-Jul-87,107929,279062,287640,285338,2361,21875,8460,8208,8274
31-Aug-87,108596,280857,289470,289235,2250,20719,8011,7773,7779
30-Sep-87,110093,282662,291387,292212,2366,21491,8370,8120,8097
31-Oct-87,113814,288624,297658,298059,1750,15376,6063,5879,5871
30-Nov-87,114947,291413,299165,299846,1580,13745,5422,5281,5269
31-Dec-87,112787,292321,301624,304410,1714,15197,5863,5683,5631
31-Jan-88,112906,292719,302296,306886,1791,15863,6118,5925,5836
29-Feb-88,112946,293709,303158,309666,1769,15662,6023,5835,5713
31-Mar-88,117742,302055,312780,317260,1743,14804,5770,5573,5494
30-Apr-88,118931,303418,313435,319968,1802,15152,5939,5749,5632
31-May-88,121611,306702,317167,323944,1785,14678,5820,5628,5510
30-Jun-88,123790,314493,325038,328914,1858,15009,5908,5716,5649
31-Jul-88,124623,321042,332521,335951,1854,14877,5775,5576,5519
31-Aug-88,123985,323110,335396,340493,1754,14147,5428,5230,5151
30-Sep-88,127715,330173,342902,345880,1827,14305,5533,5328,5282
31-Oct-88,128890,333472,345254,350013,1852,14369,5554,5364,5291
30-Nov-88,126623,334713,347395,353601,1792,14152,5354,5158,5068
31-Dec-88,128416,340727,353013,357643,1793,13962,5262,5079,5013
31-Jan-89,126104,340248,352786,363058,2052,16272,6031,5817,5652
28-Feb-89,128912,345153,357769,366630,2002,15530,5800,5596,5461
31-Mar-89,134459,353611,367824,371989,2075,15432,5868,5641,5578
30-Apr-89,132710,355913,369717,375905,2118,15960,5951,5729,5634
31-May-89,137318,362903,375772,382945,2114,15395,5825,5626,5520
30-Jun-89,158970,377289,392510,389648,2151,13531,5701,5480,5520
31-Jul-89,159196,379174,394170,394691,2297,14429,6058,5827,5820
31-Aug-89,160091,384662,399690,401486,2388,14917,6208,5975,5948
30-Sep-89,164770,392608,407865,407468,2299,13953,5856,5637,5642
31-Oct-89,164455,396900,412873,412487,2143,13031,5399,5190,5195
30-Nov-89,165150,399576,415940,417014,2277,13787,5699,5474,5460
31-Dec-89,168357,408307,423973,425692,2423,14392,5934,5715,5692
31-Jan-90,164138,407171,424000,432987,2337,14238,5740,5512,5397
28-Feb-90,165283,409212,426238,437372,2255,13643,5511,5290,5156
31-Mar-90,171717,420810,438838,441613,2248,13091,5342,5123,5090
30-Apr-90,171002,422798,440594,445333,2103,12298,4974,4773,4722
31-May-90,172585,426768,444375,450222,2345,13588,5495,5277,5209
30-Jun-90,177009,434109,452468,457593,2375,13417,5471,5249,5190
31-Jul-90,174286,433110,450892,458900,2326,13346,5370,5159,5069
31-Aug-90,172203,434870,453659,462466,2163,12561,4974,4768,4677
30-Sep-90,177515,443044,462052,466684,1990,11210,4492,4307,4264
31-Oct-90,175853,441264,459965,470399,2050,11657,4646,4457,4358
30-Nov-90,178275,448013,466132,474938,2149,12054,4797,4610,4525
31-Dec-90,179029,450371,466746,477124,2144,11976,4761,4594,4494
31-Jan-91,174324,445837,463782,480489,2170,12448,4867,4679,4516
28-Feb-91,174474,445973,462733,482727,2381,13647,5339,5146,4932
31-Mar-91,180070,453347,471056,484091,2457,13645,5420,5216,5075
30-Apr-91,178767,452696,471061,488382,2486,13906,5492,5277,5090
31-May-91,182331,457539,474525,490424,2500,13711,5464,5268,5098
30-Jun-91,185210,461327,477846,492908,2415,13039,5235,5054,4899
31-Jul-91,181565,458331,475002,493716,2589,14259,5649,5451,5244
31-Aug-91,180004,459227,475058,495246,2646,14700,5762,5570,5343
30-Sep-91,186067,464517,479618,498393,2622,14092,5645,5467,5261
31-Oct-91,181008,460281,476381,498657,2566,14176,5575,5386,5146
30-Nov-91,183658,462493,479035,501139,2420,13177,5233,5052,4829
31-Dec-91,183763,463759,480198,504621,2493,13566,5376,5192,4940
31-Jan-92,181662,463392,480238,505677,2571,14153,5548,5354,5084
29-Feb-92,181842,463423,480762,508535,2562,14089,5528,5329,5038
31-Mar-92,188024,468593,486309,508816,2440,12977,5207,5017,4795
30-Apr-92,187699,470870,486007,511974,2654,14140,5636,5461,5184
31-May-92,188056,470405,485610,512695,2708,14400,5757,5576,5282
30-Jun-92,189989,473787,489176,514693,2521,13269,5321,5154,4898
31-Jul-92,186947,474189,489456,516502,2400,12838,5061,4903,4647
31-Aug-92,184141,472332,488479,517693,2313,12561,4897,4735,4468
30-Sep-92,191295,479167,493543,520041,2553,13346,5328,5173,4909
31-Oct-92,192629,483802,498276,523220,2658,13799,5494,5334,5080
30-Nov-92,195819,484577,499545,520364,2779,14192,5735,5563,5340
31-Dec-92,191757,482374,497351,517994,2847,14847,5902,5724,5496
31-Jan-93,189553,479443,494181,517784,2807,14809,5855,5680,5421
28-Feb-93,192026,480850,496535,519631,2868,14935,5964,5776,5519
31-Mar-93,196573,484811,500516,521881,2879,14646,5938,5752,5517
30-Apr-93,196168,486297,500444,523247,2813,14340,5785,5621,5376
31-May-93,198991,488799,502527,526065,2841,14277,5812,5653,5400
30-Jun-93,200963,491466,505243,526473,2900,14431,5901,5740,5508
31-Jul-93,201165,494300,508687,529213,2927,14550,5922,5754,5531
31-Aug-93,203072,495617,509199,531529,3100,15266,6255,6088,5832
30-Sep-93,204579,497755,510516,532859,3038,14850,6103,5951,5701
31-Oct-93,203856,499994,513278,537560,3171,15555,6342,6178,5899
30-Nov-93,209227,504475,518161,539538,3167,15137,6278,6112,5870
31-Dec-93,210927,509826,522839,543199,3418,16205,6704,6537,6292
31-Jan-94,212538,507129,520810,547414,3492,16430,6886,6705,6379
28-Feb-94,214541,511249,524967,549297,3328,15512,6510,6339,6059
31-Mar-94,219160,517109,531705,551762,3086,14081,5968,5804,5593
30-Apr-94,216936,514417,529787,554338,3125,14405,6075,5899,5637
31-May-94,219802,519162,535165,555176,2971,13517,5723,5552,5351
30-Jun-94,217632,518464,535124,554871,2919,13413,5630,5455,5261
31-Jul-94,217784,518277,535606,555181,3083,14156,5949,5756,5553
31-Aug-94,219561,518621,536380,558191,3251,14807,6269,6061,5824
30-Sep-94,220399,522644,540306,559900,3026,13730,5790,5601,5405
31-Oct-94,218063,519860,538441,561339,3097,14202,5957,5752,5517
30-Nov-94,221095,524937,544290,565208,3081,13935,5869,5661,5451
31-Dec-94,218013,527293,546590,566737,3066,14063,5815,5609,5410
31-Jan-95,218028,525680,544928,570453,2992,13723,5692,5491,5245
28-Feb-95,221806,530191,549570,573961,3009,13566,5675,5475,5243
31-Mar-95,233846,545362,564596,578869,3138,13419,5754,5558,5421
30-Apr-95,228208,543088,562333,582131,3217,14097,5924,5721,5526
31-May-95,232410,548175,568138,588236,3319,14281,6055,5842,5642
30-Jun-95,232449,553005,573118,590883,3315,14261,5995,5784,5610
31-Jul-95,236108,560097,580101,600483,3463,14667,6183,5970,5767
31-Aug-95,245470,564261,584634,604134,3478,14169,6164,5949,5757
30-Sep-95,251377,569361,589412,606275,3508,13955,6161,5952,5786
31-Oct-95,247583,570680,591028,611300,3529,14254,6184,5971,5773
30-Nov-95,249812,577600,597293,616998,3664,14667,6343,6134,5938
31-Dec-95,249216,580958,613898,622377,3689,14802,6350,6009,5927
31-Jan-96,250562,583665,628422,631958,3759,15002,6440,5982,5948
29-Feb-96,251192,587353,637703,631114,3728,14841,6347,5846,5907
31-Mar-96,260107,599461,648300,635054,3700,14225,6172,5707,5826
30-Apr-96,259556,599793,652501,640131,3818,14710,6366,5851,5964
31-May-96,259870,604038,658079,643820,3748,14423,6205,5695,5822
30-Jun-96,269749,614984,667870,649516,3711,13757,6034,5556,5713
31-Jul-96,267076,615315,674680,654442,3703,13865,6018,5489,5658
31-Aug-96,263626,618166,677736,669142,3868,14672,6257,5707,5781
30-Sep-96,278643,629686,684118,667881,3954,14190,6279,5780,5920
31-Oct-96,268664,623853,682395,674049,3979,14810,6378,5831,5903
30-Nov-96,274377,633472,702643,681906,4058,14790,6406,5775,5951
31-Dec-96,271280,636776,690859,681507,4119,15184,6469,5962,6044
31-Jan-97,274230,643358,706794,693818,4276,15593,6646,6050,6163
28-Feb-97,277033,650997,719374,699872,4308,15550,6618,5989,6155
31-Mar-97,288854,663542,729981,708626,4313,14931,6500,5908,6086
30-Apr-97,288107,661357,726204,705797,4436,15397,6707,6108,6285
31-May-97,297794,671899,740306,715218,4621,15517,6878,6242,6461
30-Jun-97,326303,698110,759021,724655,4605,14113,6596,6067,6355
31-Jul-97,331402,699655,769842,731859,4908,14810,7015,6375,6706
31-Aug-97,325455,700945,771968,736570,4818,14804,6874,6241,6541
30-Sep-97,331354,663395,730951,707313,5244,15826,7905,7174,7414
31-Oct-97,327788,677922,753001,709601,4842,14772,7142,6430,6824
30-Nov-97,334472,685620,762986,716696,4832,14447,7048,6333,6742
31-Dec-97,327876,688552,761369,719881,5136,15664,7459,6746,7135
31-Jan-98,331633,686461,769915,728551,5459,16461,7952,7090,7493
28-Feb-98,335391,691527,783753,734225,5767,17195,8340,7358,7855
31-Mar-98,351540,704427,792835,739481,5932,16874,8421,7482,8022
30-Apr-98,342578,701242,794952,741916,5928,17304,8454,7457,7990
31-May-98,351488,709788,812122,744757,5871,16703,8271,7229,7883
30-Jun-98,360803,714647,813711,752350,5833,16167,8162,7168,7753
31-Jul-98,352855,716703,823570,765242,5837,16542,8144,7087,7628
31-Aug-98,348770,716844,822478,760246,5249,15050,7322,6382,6904
30-Sep-98,359890,725095,826204,771924,5064,14071,6984,6129,6560
31-Oct-98,358894,724489,826071,772179,5438,15152,7506,6583,7042
30-Nov-98,368982,730102,831196,780093,5744,15567,7867,6911,7363
31-Dec-98,353920,728400,821789,781154,5883,16622,8077,7159,7531
31-Jan-99,359951,720770,817074,785811,5896,16380,8180,7216,7503
28-Feb-99,362493,724766,824741,790310,6175,17035,8520,7487,7813
31-Mar-99,374161,731758,832631,789385,6295,16824,8603,7560,7975
30-Apr-99,369023,734161,835921,797854,6552,17755,8924,7838,8212
31-May-99,372564,742240,844372,799694,6226,16711,8388,7374,7785
30-Jun-99,388420,748520,842781,796148,6319,16268,8442,7498,7937
31-Jul-99,382941,744845,840654,796066,6232,16274,8367,7413,7828
31-Aug-99,386005,743447,843164,796685,6246,16181,8401,7408,7840
30-Sep-99,390568,741415,839107,795997,6030,15439,8133,7186,7575
31-Oct-99,391250,741775,838444,799782,6256,15990,8434,7461,7822
30-Nov-99,400650,747948,854290,806081,6597,16466,8820,7722,8184
31-Dec-99,390731,751354,842065,813215,6930,17736,9223,8230,8522
31-Jan-00,402359,747357,838569,812325,6269,15581,8388,7476,7717
29-Feb-00,404313,754296,855994,816746,6233,15416,8263,7282,7632
31-Mar-00,418147,768714,885160,831226,6540,15640,8508,7388,7868
30-Apr-00,418631,776781,891669,839228,6327,15114,8145,7096,7539
31-May-00,430526,790271,915537,844460,6359,14770,8047,6946,7530
30-Jun-00,438814,799112,920679,850172,6313,14387,7900,6857,7426
31-Jul-00,437535,795881,913255,853684,6365,14547,7997,6970,7456
31-Aug-00,435987,799883,921507,865896,6673,15306,8342,7241,7706
30-Sep-00,446786,809750,920246,867444,6294,14087,7773,6839,7256
31-Oct-00,450245,812862,930029,875496,6438,14299,7920,6922,7354
30-Nov-00,448926,815418,938950,874529,6142,13682,7532,6541,7023
31-Dec-00,451750,823694,937378,881584,6223,13775,7555,6639,7059
31-Jan-01,457305,824200,945992,892264,6298,13772,7641,6658,7058
28-Feb-01,459585,823661,947673,892962,5918,12877,7185,6245,6627
31-Mar-01,482339,851645,982075,900340,5634,11681,6615,5737,6258
30-Apr-01,478628,851960,991680,904726,5967,12467,7004,6017,6595
31-May-01,482980,855257,995776,906110,5796,12000,6777,5821,6397
30-Jun-01,491547,860079,997434,915171,5643,11480,6561,5658,6166
31-Jul-01,492632,865327,999586,921006,5529,11223,6389,5531,6003
31-Aug-01,484083,866635,1013161,928430,5345,11041,6168,5276,5757
30-Sep-01,505598,886434,1018918,938020,4903,9697,5531,4812,5227
31-Oct-01,502863,886587,1027311,942720,5040,10023,5685,4906,5346
30-Nov-01,505822,886914,1037955,944256,5204,10288,5868,5014,5511
31-Dec-01,501962,891849,1023825,940144,5217,10393,5850,5096,5549
31-Jan-02,495981,874283,1005553,942283,5165,10414,5908,5136,5481
28-Feb-02,496013,876133,1016983,949316,5101,10284,5822,5016,5373
31-Mar-02,508735,894469,1037198,949388,5272,10363,5894,5083,5553
30-Apr-02,503636,895071,1041955,954236,5166,10257,5772,4958,5414
31-May-02,507596,902136,1056328,955124,5085,10018,5637,4814,5324
30-Jun-02,528891,912753,1053359,969559,4656,8803,5101,4420,4802
31-Jul-02,522458,908545,1040754,973131,4246,8127,4673,4080,4363
31-Aug-02,521244,916950,1053994,981643,4227,8109,4610,4010,4306
30-Sep-02,540300,924979,1068215,991436,3722,6889,4024,3484,3754
31-Oct-02,535512,927149,1070278,994814,4040,7544,4357,3775,4061
30-Nov-02,540369,930979,1080764,1000251,4169,7715,4478,3857,4168
31-Dec-02,541918,932333,1065938,1005772,3940,7270,4226,3696,3917
31-Jan-03,538903,921137,1058140,1004829,3567,6619,3872,3371,3550
28-Feb-03,543957,932131,1078798,1011714,3656,6721,3922,3389,3614
31-Mar-03,560638,943038,1086546,1017714,3613,6444,3831,3325,3550
30-Apr-03,552705,946519,1100413,1028188,3926,7103,4148,3568,3818
31-May-03,567765,958254,1102860,1029298,4048,7130,4224,3670,3933
30-Jun-03,572362,967892,1118734,1043347,4031,7043,4165,3603,3864
31-Jul-03,561559,961550,1110006,1038601,4157,7403,4323,3745,4002
31-Aug-03,567110,968751,1118970,1041271,4161,7337,4295,3719,3996
30-Sep-03,584193,977821,1131657,1052911,4091,7003,4184,3615,3885
31-Oct-03,583603,978395,1136044,1054511,4288,7347,4383,3775,4066
30-Nov-03,593071,990431,1152802,1067844,4343,7323,4385,3767,4067
31-Dec-03,593848,997603,1154822,1077569,4477,7539,4488,3877,4155
31-Jan-04,599204,996418,1183817,1091146,4391,7328,4407,3709,4024
29-Feb-04,599676,1002613,1178155,1095113,4492,7491,4480,3813,4102
31-Mar-04,621874,1019888,1199007,1099186,4386,7053,4300,3658,3990
30-Apr-04,621945,1027634,1216776,1106439,4490,7219,4369,3690,4058
31-May-04,622445,1041602,1224479,1117180,4431,7119,4254,3619,3966
30-Jun-04,642165,1054881,1237892,1127839,4464,6951,4232,3606,3958
31-Jul-04,636944,1051677,1223755,1134118,4413,6928,4196,3606,3891
31-Aug-04,647188,1065131,1239316,1147978,4459,6890,4186,3598,3884
30-Sep-04,655331,1077547,1241290,1149438,4571,6975,4242,3682,3977
31-Oct-04,657842,1080996,1250692,1158525,4624,7029,4278,3697,3991
30-Nov-04,672219,1095704,1269820,1165566,4703,6996,4292,3704,4035
31-Dec-04,669244,1099271,1263843,1173579,4814,7193,4379,3809,4102
31-Jan-05,675506,1100389,1276761,1190074,4852,7183,4409,3800,4077
28-Feb-05,677996,1103576,1281810,1198017,4969,7329,4503,3877,4148
31-Mar-05,696570,1125672,1303305,1212723,4894,7026,4348,3755,4036
30-Apr-05,686966,1139563,1323029,1220521,4802,6990,4214,3630,3934
31-May-05,710084,1166748,1354145,1240022,4964,6991,4255,3666,4003
30-Jun-05,716384,1170749,1360132,1243610,5113,7137,4367,3759,4111
31-Jul-05,713824,1175688,1362791,1258050,5282,7400,4493,3876,4199
31-Aug-05,720320,1172930,1353277,1262132,5297,7354,4516,3914,4197
