Date,M1,M2,DOW,SPX,DOW/M1,DOW/M2,SPX/M1,SPX/M2
1/1/59,139,287,584,55,"4,202","2,036",396,192
2/1/59,139,288,594,56,"4,261","2,065",402,195
3/1/59,140,289,604,55,"4,320","2,087",394,190
4/1/59,140,290,603,56,"4,316","2,078",401,193
5/1/59,141,292,625,58,"4,443","2,139",412,198
6/1/59,141,294,644,59,"4,557","2,188",418,201
7/1/59,142,295,651,59,"4,593","2,205",416,200
8/1/59,142,296,675,61,"4,756","2,277",430,206
9/1/59,141,297,656,59,"4,652","2,211",418,199
10/1/59,141,297,634,57,"4,510","2,137",406,192
11/1/59,140,297,647,58,"4,605","2,176",413,195
12/1/59,140,298,664,59,"4,749","2,231",422,198
1/1/60,140,298,679,60,"4,853","2,278",429,201
2/1/60,140,298,626,56,"4,476","2,099",400,188
3/1/60,140,299,627,56,"4,484","2,094",401,187
4/1/60,140,300,616,55,"4,412","2,053",394,183
5/1/60,140,301,602,54,"4,310","2,000",387,179
6/1/60,140,302,625,56,"4,476","2,067",401,185
7/1/60,140,304,641,57,"4,574","2,109",407,187
8/1/60,141,307,618,56,"4,373","2,013",396,182
9/1/60,141,308,626,57,"4,434","2,030",404,185
10/1/60,141,310,580,54,"4,117","1,874",383,174
11/1/60,141,311,585,54,"4,154","1,882",383,174
12/1/60,141,312,595,55,"4,226","1,903",391,176
1/1/61,141,314,616,58,"4,365","1,961",411,185
2/1/61,142,317,649,62,"4,586","2,052",438,196
3/1/61,142,318,663,63,"4,673","2,083",444,198
4/1/61,142,320,677,65,"4,762","2,115",457,203
5/1/61,143,322,677,65,"4,745","2,101",456,202
6/1/61,143,324,695,67,"4,866","2,144",469,207
7/1/61,143,326,684,65,"4,786","2,101",455,200
8/1/61,144,328,714,67,"4,975","2,179",467,205
9/1/61,144,330,721,68,"5,015","2,189",473,206
10/1/61,144,331,701,67,"4,866","2,118",465,202
11/1/61,145,333,704,69,"4,861","2,111",477,207
12/1/61,145,336,729,72,"5,019","2,172",496,215
1/1/62,145,338,731,72,"5,035","2,166",496,213
2/1/62,146,340,703,69,"4,822","2,066",474,203
3/1/62,146,343,712,70,"4,875","2,075",479,204
4/1/62,146,346,707,70,"4,829","2,046",478,203
5/1/62,147,348,671,66,"4,572","1,932",450,190
6/1/62,147,349,611,59,"4,168","1,749",402,169
7/1/62,147,351,561,55,"3,831","1,600",375,157
8/1/62,147,353,591,58,"4,034","1,676",396,164
9/1/62,146,355,609,59,"4,164","1,716",403,166
10/1/62,147,357,572,56,"3,899","1,601",382,157
11/1/62,147,360,597,57,"4,054","1,660",387,158
12/1/62,148,363,649,62,"4,393","1,790",419,171
1/1/63,148,365,652,63,"4,397","1,786",425,173
2/1/63,149,368,683,66,"4,588","1,857",443,179
3/1/63,149,371,660,64,"4,422","1,780",429,173
4/1/63,150,373,686,67,"4,582","1,837",448,179
5/1/63,150,376,720,70,"4,785","1,914",465,186
6/1/63,150,378,727,71,"4,834","1,921",472,188
7/1/63,151,381,701,69,"4,635","1,840",456,181
8/1/63,152,384,695,69,"4,578","1,811",455,180
9/1/63,152,386,729,73,"4,798","1,889",480,189
10/1/63,153,388,738,72,"4,838","1,901",472,185
